team	result	side	ballot	adjudicators
Imperial SM	4th	Opening Opposition	View Ballot	Naomi PanovkaⒸ , James Cater , Teck Wei Tan
UCL LN	3rd	Closing Opposition	View Ballot	Naomi PanovkaⒸ , James Cater , Teck Wei Tan
KCL A	2nd	Closing Government	View Ballot	Naomi PanovkaⒸ , James Cater , Teck Wei Tan
Swing 1	1st	Opening Government	View Ballot	Naomi PanovkaⒸ , James Cater , Teck Wei Tan
Aberystwyth A	2nd	Opening Government	View Ballot	Zarina Bell-GamⒸ , Seshiran Govender , Shireen Ali
UCL DT	4th	Closing Opposition	View Ballot	Zarina Bell-GamⒸ , Seshiran Govender , Shireen Ali
LSE A	3rd	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Seshiran Govender , Shireen Ali
Oxford F	1st	Closing Government	View Ballot	Zarina Bell-GamⒸ , Seshiran Govender , Shireen Ali
Science Po C	4th	Closing Government	View Ballot	Dharani ShashidaranⒸ , Chloe Lam
Stanford CK	1st	Closing Opposition	View Ballot	Dharani ShashidaranⒸ , Chloe Lam
Stanford TC	3rd	Opening Government	View Ballot	Dharani ShashidaranⒸ , Chloe Lam
UCL EW	2nd	Opening Opposition	View Ballot	Dharani ShashidaranⒸ , Chloe Lam
QMDS B	3rd	Closing Government	View Ballot	Muhammad Zufar Farhan ZuhdiⒸ , Jack Jillings , Jiarui
Science Po B	1st	Closing Opposition	View Ballot	Muhammad Zufar Farhan ZuhdiⒸ , Jack Jillings , Jiarui
Reading A	2nd	Opening Government	View Ballot	Muhammad Zufar Farhan ZuhdiⒸ , Jack Jillings , Jiarui
Reading D	4th	Opening Opposition	View Ballot	Muhammad Zufar Farhan ZuhdiⒸ , Jack Jillings , Jiarui
Malaya 1	4th	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Frances Douglas Thomson , Neva Ensminger-Holland
LSE C	3rd	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Frances Douglas Thomson , Neva Ensminger-Holland
Oxford A	1st	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Frances Douglas Thomson , Neva Ensminger-Holland
KCL KJ	2nd	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Frances Douglas Thomson , Neva Ensminger-Holland
Stanford DR	3rd	Closing Opposition	View Ballot	Lucy MurphyⒸ , Isabelle Sim , Lucy McManus
St Andrews CW	1st	Opening Opposition	View Ballot	Lucy MurphyⒸ , Isabelle Sim , Lucy McManus
Oxford B	2nd	Closing Government	View Ballot	Lucy MurphyⒸ , Isabelle Sim , Lucy McManus
Oxford E	4th	Opening Government	View Ballot	Lucy MurphyⒸ , Isabelle Sim , Lucy McManus
Reading B	1st	Opening Opposition	View Ballot	Emma BellⒸ , Kiran Bodasing , Nicole Hua
Reading C	4th	Closing Government	View Ballot	Emma BellⒸ , Kiran Bodasing , Nicole Hua
QMDS A	2nd	Opening Government	View Ballot	Emma BellⒸ , Kiran Bodasing , Nicole Hua
QMDS C	3rd	Closing Opposition	View Ballot	Emma BellⒸ , Kiran Bodasing , Nicole Hua
Science Po A	2nd	Opening Opposition	View Ballot	Alicia WangⒸ , Sara Jones
Science Po D	4th	Closing Opposition	View Ballot	Alicia WangⒸ , Sara Jones
Stanford RD	3rd	Closing Government	View Ballot	Alicia WangⒸ , Sara Jones
Oxford D	1st	Opening Government	View Ballot	Alicia WangⒸ , Sara Jones
Swing 2	2nd	Closing Government	View Ballot	Andrew ChenⒸ , Daniela Martuccelli
St Andrews BP	1st	Opening Government	View Ballot	Andrew ChenⒸ , Daniela Martuccelli
LSE B	3rd	Closing Opposition	View Ballot	Andrew ChenⒸ , Daniela Martuccelli
Bucharest B	4th	Opening Opposition	View Ballot	Andrew ChenⒸ , Daniela Martuccelli
Copenhagen A	3rd	Closing Government	View Ballot	Amelia PotockaⒸ , Banun Sabri , Luke Ashworth
Stuttgart A	4th	Opening Government	View Ballot	Amelia PotockaⒸ , Banun Sabri , Luke Ashworth
KCL JJ	1st	Closing Opposition	View Ballot	Amelia PotockaⒸ , Banun Sabri , Luke Ashworth
St Gallen A	2nd	Opening Opposition	View Ballot	Amelia PotockaⒸ , Banun Sabri , Luke Ashworth
Belgrade A	1st	Opening Opposition	View Ballot	Matt CaitoⒸ , Alessandro d&#x27;Attanasio , Klaudia Maciejewska , Sharon Jessy
Zagreb TR	2nd	Closing Government	View Ballot	Matt CaitoⒸ , Alessandro d&#x27;Attanasio , Klaudia Maciejewska , Sharon Jessy
UCL BS	4th	Opening Government	View Ballot	Matt CaitoⒸ , Alessandro d&#x27;Attanasio , Klaudia Maciejewska , Sharon Jessy
Oxford C	3rd	Closing Opposition	View Ballot	Matt CaitoⒸ , Alessandro d&#x27;Attanasio , Klaudia Maciejewska , Sharon Jessy
