Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
78=	Nikola Wójcik	ESL, Novice	QMDS C	64	69	73	66	68	340	68.00	3.03
80	Saffron Marshallsay		Reading B	66	65	62	73	73	339	67.80	4.45
81	Emmanuel Adeyeye		Reading C	70	68	67	65	65	335	67.00	1.90
82	Swing 2		Swing 2	74	—	77	76	77	304	76.00	1.22
83	Hailey Demars		Stanford DR	74	76	74	—	75	299	74.75	0.83
84	Thalia Kalai		QMDS A	77	75	—	74	72	298	74.50	1.80
85	Alina Bashkirova	ESL	QMDS A	74	70	—	73	69	286	71.50	2.06
86	Swing 1	Novice	Swing 1	78	81	79	—	—	238	79.33	1.25
87	Peter Vincent	Novice	QMDS C	66	71	72	—	—	209	69.67	2.62
88	Swing 2	ESL	Swing 2	75	—	76	—	—	151	75.50	0.50
89	Swing 3		Swing 3	—	—	74	—	—	74	74.00	0.00
90	Swing 3		Swing 3	—	—	—	—	—	—	—	—
