team	result	side	ballot	adjudicators
QMDS B	1st	Closing Government	View Ballot	Lucy McManusⒸ , Matilda Middlehurst , Simiso Shabangu
Reading C	4th	Opening Government	View Ballot	Lucy McManusⒸ , Matilda Middlehurst , Simiso Shabangu
Reading D	2nd	Opening Opposition	View Ballot	Lucy McManusⒸ , Matilda Middlehurst , Simiso Shabangu
QMDS C	3rd	Closing Opposition	View Ballot	Lucy McManusⒸ , Matilda Middlehurst , Simiso Shabangu
Copenhagen A	3rd	Opening Government	View Ballot	Geneva RoyⒸ , Alessandro d&#x27;Attanasio , Frances Douglas Thomson
St Andrews BP	4th	Opening Opposition	View Ballot	Geneva RoyⒸ , Alessandro d&#x27;Attanasio , Frances Douglas Thomson
LSE A	2nd	Closing Opposition	View Ballot	Geneva RoyⒸ , Alessandro d&#x27;Attanasio , Frances Douglas Thomson
LSE C	1st	Closing Government	View Ballot	Geneva RoyⒸ , Alessandro d&#x27;Attanasio , Frances Douglas Thomson
St Andrews CW	2nd	Opening Opposition	View Ballot	Banun SabriⒸ , Alicia Wang , Daniela Martuccelli , Fraser McConachie
Oxford E	3rd	Opening Government	View Ballot	Banun SabriⒸ , Alicia Wang , Daniela Martuccelli , Fraser McConachie
Oxford A	4th	Closing Opposition	View Ballot	Banun SabriⒸ , Alicia Wang , Daniela Martuccelli , Fraser McConachie
Oxford F	1st	Closing Government	View Ballot	Banun SabriⒸ , Alicia Wang , Daniela Martuccelli , Fraser McConachie
Belgrade A	1st	Closing Opposition	View Ballot	Zarina Bell-GamⒸ , Jack Jillings , Jemimah Lee
Science Po C	3rd	Opening Opposition	View Ballot	Zarina Bell-GamⒸ , Jack Jillings , Jemimah Lee
LSE B	4th	Closing Government	View Ballot	Zarina Bell-GamⒸ , Jack Jillings , Jemimah Lee
Swing 1	2nd	Opening Government	View Ballot	Zarina Bell-GamⒸ , Jack Jillings , Jemimah Lee
Imperial SM	2nd	Closing Opposition	View Ballot	Shireen AliⒸ , Jiarui , Oliver Law
Stanford TC	4th	Opening Opposition	View Ballot	Shireen AliⒸ , Jiarui , Oliver Law
Reading A	3rd	Closing Government	View Ballot	Shireen AliⒸ , Jiarui , Oliver Law
Bucharest B	1st	Opening Government	View Ballot	Shireen AliⒸ , Jiarui , Oliver Law
Science Po B	4th	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Muhammad Zufar Farhan Zuhdi , Seshiran Govender
Stanford DR	3rd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Muhammad Zufar Farhan Zuhdi , Seshiran Govender
UCL DT	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Muhammad Zufar Farhan Zuhdi , Seshiran Govender
Oxford C	2nd	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Muhammad Zufar Farhan Zuhdi , Seshiran Govender
Aberystwyth A	3rd	Closing Opposition	View Ballot	Matt CaitoⒸ , James Cater , Sharon Jessy
Stanford RD	4th	Closing Government	View Ballot	Matt CaitoⒸ , James Cater , Sharon Jessy
Oxford B	1st	Opening Government	View Ballot	Matt CaitoⒸ , James Cater , Sharon Jessy
Oxford D	2nd	Opening Opposition	View Ballot	Matt CaitoⒸ , James Cater , Sharon Jessy
Science Po A	4th	Opening Opposition	View Ballot	Lucy MurphyⒸ , Alldon Garren Tan , Nicole Hua
UCL BS	1st	Closing Government	View Ballot	Lucy MurphyⒸ , Alldon Garren Tan , Nicole Hua
KCL A	3rd	Closing Opposition	View Ballot	Lucy MurphyⒸ , Alldon Garren Tan , Nicole Hua
KCL JJ	2nd	Opening Government	View Ballot	Lucy MurphyⒸ , Alldon Garren Tan , Nicole Hua
Stuttgart A	3rd	Closing Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Amelia Potocka , Joseph Fennell
Stanford CK	2nd	Opening Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Amelia Potocka , Joseph Fennell
Reading B	4th	Closing Opposition	View Ballot	Mauricio Jarufe CaballeroⒸ , Amelia Potocka , Joseph Fennell
UCL EW	1st	Opening Government	View Ballot	Mauricio Jarufe CaballeroⒸ , Amelia Potocka , Joseph Fennell
Malaya 1	1st	Opening Government	View Ballot	Andrew ChenⒸ , Chloe Lam , Neva Ensminger-Holland
Science Po D	3rd	Closing Opposition	View Ballot	Andrew ChenⒸ , Chloe Lam , Neva Ensminger-Holland
St Gallen A	2nd	Closing Government	View Ballot	Andrew ChenⒸ , Chloe Lam , Neva Ensminger-Holland
QMDS A	4th	Opening Opposition	View Ballot	Andrew ChenⒸ , Chloe Lam , Neva Ensminger-Holland
Swing 2	4th	Closing Opposition	View Ballot	Teck Wei TanⒸ , Dharani Shashidaran , Sara Jones
Zagreb TR	1st	Opening Government	View Ballot	Teck Wei TanⒸ , Dharani Shashidaran , Sara Jones
UCL LN	3rd	Closing Government	View Ballot	Teck Wei TanⒸ , Dharani Shashidaran , Sara Jones
KCL KJ	2nd	Opening Opposition	View Ballot	Teck Wei TanⒸ , Dharani Shashidaran , Sara Jones
