name	institution	adjcore	independent
Sourodip Paul	ANU		
Klaudia Maciejewska 👀	CE&amp;ME		
Jessica Musulin	ANU		
Ruth Silcoff	McGill		
Njuguna Macharia	Africa		
Erasmus Segbefia	Africa		
Christopher Hojem	Africa		
Yoni Cohen-Idov	TAU		
Daan Spackler	NSDV Trivium		
Nikola Michaylov	Leiden		
Jordyn Gibson 😂	ANU		
Daniel Schonning	HWS		
Sundar Karthick Vellaiyappan	Cambridge		
Jack Stanley 🏑	IoNA		
Anum Naseer	Asia		
Davida Paul	Africa		
Shireen Ali	Sunway		
Daniel Walsh	Macquarie		
Theo Dorfner	DK Wien		
Daniel Maier-Gant	Auckland		
Alexander Beaumont	NA		
Pjotr Koster	LSE		
Fernanda Crousillat Rayter	C&amp;LA		
Alexandra McCreadie	IoNA		
Mukhtar Tashkenbayev	NU		
Martha McKinney-Perry	TCD Hist		
Pranav Kagalkar	Asia		
Diego Duarte	Rosario		
Jack Williams	TCD Hist		
Lucy Murphy	IoNA		
Zach Godley-McAvoy	IoNA		
Helena Hecke ✨🥨	CE&amp;ME		
Lucie Slamova	IoNA		
Joel Law	Monash		
Craig McDonald	IoNA		
Revan Lim TJ 🐼	Asia		
Ben Dory	IoNA		
Robert Barrie	Macquarie		
Sebastián Dasso	PUCP		
Sharuka Wikramanayake	Auckland		
Serena Yuan	Hart House		
Tengku Omar	Asia		
Chris Mentis Cravaris	Imperial		
Micaela Lewis	McGill		
Da&#x27;Von Boyd	Yale		
Faithfulness Okom	Africa		
Vinodhan Kuppusamy 👄	Asia		
Miriam Kalman	CE&amp;ME		
Banun Sabri	Asia		
Tota Takahashi	Tokyo		
Anna Shreder	Technion		
Latisha	Hart House		
Yael Wolff	Technion		
Júlia García Güell	Cornell		
Alicja Filbier	CE&amp;ME		
Udai Kamath	Macquarie		
Dilys Wang	Duke		
Beatrice Cuizon	Ateneo		
Tin Puljić	Zagreb		
Simon Luo	C&amp;LA		
Emery Taylor	NA		
Sowmya Srinivasan	Berlin		
Jaleelah Al-Ameenah Ammar	Ottawa		
Ashish Kumar	Cambridge		
Mark Rothery	Oxford		
Juanita Hincapié Restrepo	Rosario		
Samuel Scheuer	Oxford		
Joseph Lewis	IoNA		
William Price	Sydney		
Ruth Selorme Acolatse	Africa		
Devesh Kodnani	Chicago		
Arpi Yang	Hart House		
Miri Muntean	CE&amp;ME		
Flora Baek 🐍🐢	Middlebury		
Claire Yu	UNSW		
Paolo Taino	Ateneo		
