Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
184=	Chelsea Yang	Novice	RUN YD	74	72	76	69	68	359	71.80	2.99
184=	Simran Dabas	Novice	RUN YD	74	72	76	69	68	359	71.80	2.99
187	Marriana Maloney	Novice	Bard MM	73	73	64	75	73	358	71.60	3.88
188=	Ryan Chicirda	Novice	Middlebury CC	73	76	69	66	73	357	71.40	3.50
188=	Kayleigh Christley	Novice	Middlebury CC	74	75	69	66	73	357	71.40	3.38
188=	George Dumitru		UoG Baddies	72	65	78	74	68	357	71.40	4.54
191	Hope MacPherson	Novice	UoG Baddies	72	65	77	72	69	355	71.00	3.95
192	Kieran Narang	Novice	Odette 1	74	63	69	75	71	352	70.40	4.27
193	Grace O&#x27;Bryan	Novice	Speakeasy	63	72	69	74	72	350	70.00	3.85
194	Miles Bretherton		Speakeasy	63	72	69	73	72	349	69.80	3.66
195	Erley Lafleur	Novice	Odette 1	73	63	68	74	69	347	69.40	3.93
196=	Matthew Livingstone	Novice	Odette 2	73	72	66	70	—	281	70.25	2.68
196=	David Mailloux	Novice	Odette 2	73	72	65	71	—	281	70.25	3.11
198	Anais Kneppers		EDS KP	—	—	80	78	81	239	79.67	1.25
199	Speaker 2		Swing A	—	79	78	—	75	232	77.33	1.70
200	Speaker 3		Swing B	—	—	—	—	75	75	75.00	0.00
201=	Speaker 4		Swing B	—	—	—	—	—	—	—	—
201=	Speaker 5		Swing C	—	—	—	—	—	—	—	—
201=	Speaker 6		Swing C	—	—	—	—	—	—	—	—
