team	result	side	ballot	adjudicators
hehe	1st	Closing Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Reana Yan
Serving Kant	2nd	Closing Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Reana Yan
channeling oikawa energy	4th	Opening Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Reana Yan
EDS Yeehaw	3rd	Opening Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa , Reana Yan
BDU A	4th	Closing Opposition	View Ballot	Guilherme Pereira RodriguesⒸ , Rishabh Gupta
airplanes is balanced and fair	1st	Closing Government	View Ballot	Guilherme Pereira RodriguesⒸ , Rishabh Gupta
Preparing the best Hawaiian shirt f	2nd	Opening Opposition	View Ballot	Guilherme Pereira RodriguesⒸ , Rishabh Gupta
One Munch, Two Munch	3rd	Opening Government	View Ballot	Guilherme Pereira RodriguesⒸ , Rishabh Gupta
Redacted	3rd	Closing Opposition	View Ballot	Tousif Tanvir AlamⒸ , Pranjal Chakraborty
Osiris	4th	Closing Government	View Ballot	Tousif Tanvir AlamⒸ , Pranjal Chakraborty
Boston Warriors	2nd	Opening Opposition	View Ballot	Tousif Tanvir AlamⒸ , Pranjal Chakraborty
Jerblin	1st	Opening Government	View Ballot	Tousif Tanvir AlamⒸ , Pranjal Chakraborty
Dorvlo and Opoku: KNUST A	2nd	Closing Opposition	View Ballot	Harsh BattulwarⒸ , Anshuman Singh Malhotra
Pizza paratha	3rd	Closing Government	View Ballot	Harsh BattulwarⒸ , Anshuman Singh Malhotra
Swing 7	4th	Opening Opposition	View Ballot	Harsh BattulwarⒸ , Anshuman Singh Malhotra
Swing 6	1st	Opening Government	View Ballot	Harsh BattulwarⒸ , Anshuman Singh Malhotra
Honk Honk Shoo Shoo Mimiki	4th	Closing Opposition	View Ballot	Diego DuarteⒸ , Aayuushi Bose , Ellie Stephenson
Oxford AP	1st	Closing Government	View Ballot	Diego DuarteⒸ , Aayuushi Bose , Ellie Stephenson
letting it linger	2nd	Opening Opposition	View Ballot	Diego DuarteⒸ , Aayuushi Bose , Ellie Stephenson
UCL KD	3rd	Opening Government	View Ballot	Diego DuarteⒸ , Aayuushi Bose , Ellie Stephenson
Hate Crazy American Judges	3rd	Closing Opposition	View Ballot	Nir KligsbergⒸ , Afzal Hussain , Sher May
Nattu Nattu x Hurricane	4th	Closing Government	View Ballot	Nir KligsbergⒸ , Afzal Hussain , Sher May
Mostly harmless	1st	Opening Opposition	View Ballot	Nir KligsbergⒸ , Afzal Hussain , Sher May
KCL folklore and reputation	2nd	Opening Government	View Ballot	Nir KligsbergⒸ , Afzal Hussain , Sher May
Dumbfuck Diggory	3rd	Closing Opposition	View Ballot	Elgin LinⒸ , Wajeeh Maaz
Observe the Sabbath or Get Stoned	2nd	Closing Government	View Ballot	Elgin LinⒸ , Wajeeh Maaz
Naruto v Sasuke Moment	4th	Opening Opposition	View Ballot	Elgin LinⒸ , Wajeeh Maaz
The dota player says: &#x27;lol sucks&#x27;. 	1st	Opening Government	View Ballot	Elgin LinⒸ , Wajeeh Maaz
DANEIS A(sleep)	3rd	Closing Opposition	View Ballot	Ram OrfanelⒸ , Colson Merrill
Gift Wrapped in our 4d Fit	2nd	Closing Government	View Ballot	Ram OrfanelⒸ , Colson Merrill
Chicago BH	4th	Opening Opposition	View Ballot	Ram OrfanelⒸ , Colson Merrill
Two northeastern offer holders	1st	Opening Government	View Ballot	Ram OrfanelⒸ , Colson Merrill
TAU E&amp;R	2nd	Closing Opposition	View Ballot	Cameron Miranda-RadbordⒸ , Arya Arunav Dash
Out of Hibernation	4th	Closing Government	View Ballot	Cameron Miranda-RadbordⒸ , Arya Arunav Dash
Sophie and Riv	1st	Opening Opposition	View Ballot	Cameron Miranda-RadbordⒸ , Arya Arunav Dash
Apex Nights	3rd	Opening Government	View Ballot	Cameron Miranda-RadbordⒸ , Arya Arunav Dash
Nice extension, unfortunately I dre	1st	Closing Opposition	View Ballot	Meg KandarpaⒸ , Istiak Ahmed Rabi
Can&#x27;t spell argumentation without U	4th	Closing Government	View Ballot	Meg KandarpaⒸ , Istiak Ahmed Rabi
Came back from getting milk	2nd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Istiak Ahmed Rabi
belt and road	3rd	Opening Government	View Ballot	Meg KandarpaⒸ , Istiak Ahmed Rabi
