team	result	side	ballot	adjudicators
Honk Honk Shoo Shoo Mimiki	2nd	Closing Opposition	View Ballot	Aayuushi BoseⒸ
The dota player says: &#x27;lol sucks&#x27;. 	3rd	Closing Opposition	View Ballot	Diego DuarteⒸ
Nice extension, unfortunately I dre	4th	Closing Government	View Ballot	Diego DuarteⒸ
Two northeastern offer holders	1st	Opening Opposition	View Ballot	Diego DuarteⒸ
Gift Wrapped in our 4d Fit	2nd	Opening Government	View Ballot	Diego DuarteⒸ
Hate Crazy American Judges	3rd	Closing Opposition	View Ballot	Fernanda CrousillatⒸ
DANEIS A(sleep)	1st	Closing Government	View Ballot	Fernanda CrousillatⒸ
Chicago BH	2nd	Opening Opposition	View Ballot	Fernanda CrousillatⒸ
KCL folklore and reputation	4th	Opening Government	View Ballot	Fernanda CrousillatⒸ
Naruto v Sasuke Moment	2nd	Closing Opposition	View Ballot	Jane MentzingerⒸ , Guilherme Pereira Rodrigues
Observe the Sabbath or Get Stoned	1st	Closing Government	View Ballot	Jane MentzingerⒸ , Guilherme Pereira Rodrigues
UCL KD	3rd	Opening Opposition	View Ballot	Jane MentzingerⒸ , Guilherme Pereira Rodrigues
channeling oikawa energy	4th	Opening Government	View Ballot	Jane MentzingerⒸ , Guilherme Pereira Rodrigues
Came back from getting milk	2nd	Closing Opposition	View Ballot	Reana YanⒸ , Olamilekan Oderanti
Oxford AP	3rd	Closing Government	View Ballot	Reana YanⒸ , Olamilekan Oderanti
Dumbfuck Diggory	1st	Opening Opposition	View Ballot	Reana YanⒸ , Olamilekan Oderanti
Sophie and Riv	4th	Opening Government	View Ballot	Reana YanⒸ , Olamilekan Oderanti
Can&#x27;t spell argumentation without U	1st	Closing Opposition	View Ballot	Meg KandarpaⒸ , Pranjal Chakraborty , Ryosui BannoⓉ
letting it linger	2nd	Closing Government	View Ballot	Meg KandarpaⒸ , Pranjal Chakraborty , Ryosui BannoⓉ
hehe	3rd	Opening Opposition	View Ballot	Meg KandarpaⒸ , Pranjal Chakraborty , Ryosui BannoⓉ
Preparing the best Hawaiian shirt f	4th	Opening Government	View Ballot	Meg KandarpaⒸ , Pranjal Chakraborty , Ryosui BannoⓉ
Serving Kant	3rd	Closing Opposition	View Ballot	Ram OrfanelⒸ , Adrian Salazar
Nattu Nattu x Hurricane	1st	Closing Government	View Ballot	Ram OrfanelⒸ , Adrian Salazar
Swing 4	4th	Opening Opposition	View Ballot	Ram OrfanelⒸ , Adrian Salazar
BDU A	2nd	Opening Government	View Ballot	Ram OrfanelⒸ , Adrian Salazar
Apex Nights	4th	Closing Government	View Ballot	Aayuushi BoseⒸ
Girlboos	1st	Opening Opposition	View Ballot	Aayuushi BoseⒸ
Osiris	3rd	Opening Government	View Ballot	Aayuushi BoseⒸ
Boston Warriors	4th	Closing Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa
Swing 1	1st	Closing Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa
airplanes is balanced and fair	2nd	Opening Opposition	View Ballot	Mishaal SaidⒸ , Ayushi Nasa
Cameron Haters	3rd	Opening Government	View Ballot	Mishaal SaidⒸ , Ayushi Nasa
Swing 5	2nd	Closing Opposition	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
Swing 3	3rd	Closing Government	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
TAU E&amp;R	1st	Opening Opposition	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
Pizza paratha	4th	Opening Government	View Ballot	Colson MerrillⒸ , Arya Arunav Dash
One Munch, Two Munch	4th	Closing Opposition	View Ballot	Lucy McManusⒸ , Cameron Miranda-Radbord
Mostly harmless	3rd	Closing Government	View Ballot	Lucy McManusⒸ , Cameron Miranda-Radbord
EDS Yeehaw	2nd	Opening Opposition	View Ballot	Lucy McManusⒸ , Cameron Miranda-Radbord
belt and road	1st	Opening Government	View Ballot	Lucy McManusⒸ , Cameron Miranda-Radbord
Swing 2	1st	Closing Opposition	View Ballot	Nir KligsbergⒸ
Jerblin	4th	Closing Government	View Ballot	Nir KligsbergⒸ
Out of Hibernation	3rd	Opening Opposition	View Ballot	Nir KligsbergⒸ
Redacted	2nd	Opening Government	View Ballot	Nir KligsbergⒸ
