Rk	name	category	team	R1	R2	R3	R4	R5	R6	Total	Avg	Stdev
150	Angus Li	Novice	Williams IL	79	79	78	—	—	—	236	78.67	0.47
151	Ash (he/they)	ESL	EDS BK	76	78	76	—	—	—	230	76.67	0.94
152	Drew Delcioppo		UAlberta DT	73	71	74	—	—	—	218	72.67	1.25
153	Speaker 1		Swing 2	—	—	—	—	70	78	148	74.00	4.00
154=	Speaker 1		Swing 4	—	—	—	—	—	82	82	82.00	0.00
154=	Speaker 2		Swing 4	—	—	—	—	—	82	82	82.00	0.00
156=	Eli Pallrand		Cornell PK	80	—	—	—	—	—	80	80.00	0.00
156=	Meg Kandarpa		Cornell PK	80	—	—	—	—	—	80	80.00	0.00
158	Speaker 2		Swing 2	—	—	—	—	70	—	70	70.00	0.00
159=	Terry Yuan	ESL, Novice	UChicago MY	—	—	—	—	—	—	—	—	—
159=	Michael Moran	Novice	UChicago MY	—	—	—	—	—	—	—	—	—
