team	result	side	ballot	adjudicators
Sofia B	2nd	Opening Government	View Ballot	Joseph LewisⒸ , Lucky Uboh
Imani	3rd	Opening Opposition	View Ballot	Joseph LewisⒸ , Lucky Uboh
Black Panther	4th	Closing Government	View Ballot	Joseph LewisⒸ , Lucky Uboh
We bet you didn&#x27;t expect this one	1st	Closing Opposition	View Ballot	Joseph LewisⒸ , Lucky Uboh
A good guy and a bad one	3rd	Opening Government	View Ballot	Dylan McCarthyⒸ , Okediji Imole Favour
ASHS Jumbo Hotdog	4th	Opening Opposition	View Ballot	Dylan McCarthyⒸ , Okediji Imole Favour
Lemi ata kore duvshania?	2nd	Closing Government	View Ballot	Dylan McCarthyⒸ , Okediji Imole Favour
Vienna A	1st	Closing Opposition	View Ballot	Dylan McCarthyⒸ , Okediji Imole Favour
Coach and Child (guess who&#x27;s talle	2nd	Opening Government	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
Reichman A	4th	Opening Opposition	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
Love, Light and barzz	3rd	Closing Government	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
Swing 2	1st	Closing Opposition	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
A&amp;M	1st	Opening Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
We move with an Audacious Faith	4th	Opening Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Asibolanga	2nd	Closing Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
D.E.B.S.	3rd	Closing Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Breaking hearts and tabs	3rd	Opening Government	View Ballot	Henry KofiⒸ , Chleopatra Azantillow
Oxford LA	2nd	Opening Opposition	View Ballot	Henry KofiⒸ , Chleopatra Azantillow
Akofena Reunion	1st	Closing Government	View Ballot	Henry KofiⒸ , Chleopatra Azantillow
Phoenix	4th	Closing Opposition	View Ballot	Henry KofiⒸ , Chleopatra Azantillow
Mandela meets Nkrumah	3rd	Opening Government	View Ballot	Comfort AyelomiⒸ , Olayinka Olamide Esther
E&amp;A not EA	4th	Opening Opposition	View Ballot	Comfort AyelomiⒸ , Olayinka Olamide Esther
The only time we are glad to pay	2nd	Closing Government	View Ballot	Comfort AyelomiⒸ , Olayinka Olamide Esther
BNI	1st	Closing Opposition	View Ballot	Comfort AyelomiⒸ , Olayinka Olamide Esther
Domgladola	4th	Opening Government	View Ballot	Kezia Okyere AmponsahⒸ , Kelvin Delali Azameti-Mensah , Umuhairu
Kali	2nd	Opening Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Kelvin Delali Azameti-Mensah , Umuhairu
Alcoholists Anonymous	3rd	Closing Government	View Ballot	Kezia Okyere AmponsahⒸ , Kelvin Delali Azameti-Mensah , Umuhairu
HUJI cAll to order	1st	Closing Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Kelvin Delali Azameti-Mensah , Umuhairu
