team	result	side	ballot	adjudicators
Swing 1	4th	Opening Opposition	View Ballot	UmuhairuⒸ , Lucky Uboh
Breaking hearts and tabs	1st	Closing Government	View Ballot	UmuhairuⒸ , Lucky Uboh
Alcoholists Anonymous	2nd	Closing Opposition	View Ballot	UmuhairuⒸ , Lucky Uboh
ASHS Jumbo Hotdog	3rd	Opening Government	View Ballot	Henry KofiⒸ
Swing 4	1st	Opening Opposition	View Ballot	Henry KofiⒸ
D.E.B.S.	4th	Closing Government	View Ballot	Henry KofiⒸ
We move with an Audacious Faith	2nd	Closing Opposition	View Ballot	Henry KofiⒸ
BNI	3rd	Opening Government	View Ballot	Dylan McCarthyⒸ , Kelvin Delali Azameti-Mensah , Olayinka Olamide Esther
Sofia B	4th	Opening Opposition	View Ballot	Dylan McCarthyⒸ , Kelvin Delali Azameti-Mensah , Olayinka Olamide Esther
Akofena Reunion	1st	Closing Government	View Ballot	Dylan McCarthyⒸ , Kelvin Delali Azameti-Mensah , Olayinka Olamide Esther
The only time we are glad to pay	2nd	Closing Opposition	View Ballot	Dylan McCarthyⒸ , Kelvin Delali Azameti-Mensah , Olayinka Olamide Esther
Phoenix	1st	Opening Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
A good guy and a bad one	2nd	Opening Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
A&amp;M	4th	Closing Government	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Coach and Child (guess who&#x27;s talle	3rd	Closing Opposition	View Ballot	Pascal Blaise ObengⒸ , Opoola Opeyemi
Imani	4th	Opening Government	View Ballot	Comfort AyelomiⒸ , Joseph Lewis
Vienna A	1st	Opening Opposition	View Ballot	Comfort AyelomiⒸ , Joseph Lewis
E&amp;A not EA	3rd	Closing Government	View Ballot	Comfort AyelomiⒸ , Joseph Lewis
Black Panther	2nd	Closing Opposition	View Ballot	Comfort AyelomiⒸ , Joseph Lewis
Kali	4th	Opening Government	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
HUJI cAll to order	3rd	Opening Opposition	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
Mandela meets Nkrumah	2nd	Closing Government	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
We bet you didn&#x27;t expect this one	1st	Closing Opposition	View Ballot	Nirali RoutⒸ , Adu-Nontwiri Sergio
Oxford LA	3rd	Opening Government	View Ballot	Kezia Okyere AmponsahⒸ , Chleopatra Azantillow
Lemi ata kore duvshania?	4th	Opening Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Chleopatra Azantillow
Reichman A	2nd	Closing Government	View Ballot	Kezia Okyere AmponsahⒸ , Chleopatra Azantillow
Swing 2	1st	Closing Opposition	View Ballot	Kezia Okyere AmponsahⒸ , Chleopatra Azantillow
Swing 3	3rd	Opening Government	View Ballot	UmuhairuⒸ , Lucky Uboh
