team	result	side	ballot	adjudicators
Pipelines	4th	Opening Government	View Ballot	Chris TiessenⒸ , Umayer Khan
Royal Tyrrell Museum	3rd	Closing Government	View Ballot	Chris TiessenⒸ , Umayer Khan
Grizzly Bear	1st	Closing Opposition	View Ballot	Chris TiessenⒸ , Umayer Khan
Truck Nuts	2nd	Opening Opposition	View Ballot	Chris TiessenⒸ , Umayer Khan
Bandanas	4th	Closing Government	View Ballot	Brayden GriffinⒸ , Olivia Tucker
Lake Louise	3rd	Opening Opposition	View Ballot	Brayden GriffinⒸ , Olivia Tucker
The Blue Ring	1st	Closing Opposition	View Ballot	Brayden GriffinⒸ , Olivia Tucker
Oil Sector	2nd	Opening Government	View Ballot	Brayden GriffinⒸ , Olivia Tucker
gReEn EnERgy TrAnSItIon	2nd	Opening Opposition	View Ballot	Gregory KwokⒸ , Aaryan Patel
Prairie Parklands	1st	Opening Government	View Ballot	Gregory KwokⒸ , Aaryan Patel
Northern Peatlands	4th	Closing Opposition	View Ballot	Gregory KwokⒸ , Aaryan Patel
Swing 1	3rd	Closing Government	View Ballot	Gregory KwokⒸ , Aaryan Patel
Mount Temple	2nd	Opening Government	View Ballot	Wejdaan Faridi (TD)Ⓒ , Zongxin Liu (Galvin)Ⓣ
Heritage Park	4th	Closing Opposition	View Ballot	Wejdaan Faridi (TD)Ⓒ , Zongxin Liu (Galvin)Ⓣ
Yamnuska Wolfdog Sanctuary	1st	Closing Government	View Ballot	Wejdaan Faridi (TD)Ⓒ , Zongxin Liu (Galvin)Ⓣ
Cowboy Boots	3rd	Opening Opposition	View Ballot	Wejdaan Faridi (TD)Ⓒ , Zongxin Liu (Galvin)Ⓣ
Beef Industry	3rd	Closing Government	View Ballot	Hargun RekhiⒸ
The River Valley	2nd	Opening Opposition	View Ballot	Hargun RekhiⒸ
The Calgary Tower	1st	Opening Government	View Ballot	Hargun RekhiⒸ
Wild Horses	4th	Closing Opposition	View Ballot	Hargun RekhiⒸ
Black Bear	2nd	Opening Opposition	View Ballot	Ken TieuⒸ , Rithwik Bhattwar
Rogers Place	3rd	Closing Government	View Ballot	Ken TieuⒸ , Rithwik Bhattwar
Johnston Canyon	4th	Opening Government	View Ballot	Ken TieuⒸ , Rithwik Bhattwar
Swing 3	1st	Closing Opposition	View Ballot	Ken TieuⒸ , Rithwik Bhattwar
Sulphur Mountain	2nd	Closing Opposition	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang
Canola Farming	4th	Opening Opposition	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang
Cowboy Hats	1st	Opening Government	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang
Pancake Breakfast	3rd	Closing Government	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang
BeaverTails	1st	Closing Government	View Ballot	Varun LodayaⒸ , James Larkin
Rodeo	3rd	Opening Government	View Ballot	Varun LodayaⒸ , James Larkin
Dodge Ram 1500	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , James Larkin
Its always those damn liberals...	4th	Closing Opposition	View Ballot	Varun LodayaⒸ , James Larkin
West Edmonton Mall	2nd	Opening Opposition	View Ballot	Hamza AzizⒸ , Latisha Lau
Terribly Maintained Highways	1st	Closing Government	View Ballot	Hamza AzizⒸ , Latisha Lau
The Saddledome	4th	Closing Opposition	View Ballot	Hamza AzizⒸ , Latisha Lau
Nyanko Oil Warriors	3rd	Opening Government	View Ballot	Hamza AzizⒸ , Latisha Lau
Telus Spark Centre	4th	Closing Government	View Ballot	Diana LiuⒸ
Swing 2	1st	Closing Opposition	View Ballot	Diana LiuⒸ
Bacon in Everything	3rd	Opening Opposition	View Ballot	Diana LiuⒸ
Denim-on-Denim	2nd	Opening Government	View Ballot	Diana LiuⒸ
Stampede	3rd	Opening Opposition	View Ballot	Emily ShiⒸ , Rachel Kaup
Talus Dome	2nd	Closing Opposition	View Ballot	Emily ShiⒸ , Rachel Kaup
Long-Sleeved Flannel	1st	Closing Government	View Ballot	Emily ShiⒸ , Rachel Kaup
Wexit	4th	Opening Government	View Ballot	Emily ShiⒸ , Rachel Kaup
