team	result	side	ballot	adjudicators
Royal Tyrrell Museum	1st	Closing Opposition	View Ballot	Ken TieuⒸ , Tiana Hardman , Zongxin Liu (Galvin)Ⓣ
Rodeo	3rd	Opening Opposition	View Ballot	Ken TieuⒸ , Tiana Hardman , Zongxin Liu (Galvin)Ⓣ
Pancake Breakfast	2nd	Opening Government	View Ballot	Ken TieuⒸ , Tiana Hardman , Zongxin Liu (Galvin)Ⓣ
Dodge Ram 1500	4th	Closing Government	View Ballot	Ken TieuⒸ , Tiana Hardman , Zongxin Liu (Galvin)Ⓣ
Sulphur Mountain	3rd	Closing Government	View Ballot	Caitlin MahⒸ , Olivia Tucker , Sana WⓉ
Terribly Maintained Highways	1st	Opening Opposition	View Ballot	Caitlin MahⒸ , Olivia Tucker , Sana WⓉ
The Saddledome	2nd	Closing Opposition	View Ballot	Caitlin MahⒸ , Olivia Tucker , Sana WⓉ
Truck Nuts	4th	Opening Government	View Ballot	Caitlin MahⒸ , Olivia Tucker , Sana WⓉ
Lake Louise	2nd	Opening Opposition	View Ballot	Hargun RekhiⒸ , Michael Wang , Umayer KhanⓉ
The Blue Ring	3rd	Closing Opposition	View Ballot	Hargun RekhiⒸ , Michael Wang , Umayer KhanⓉ
Swing 1	4th	Opening Government	View Ballot	Hargun RekhiⒸ , Michael Wang , Umayer KhanⓉ
Long-Sleeved Flannel	1st	Closing Government	View Ballot	Hargun RekhiⒸ , Michael Wang , Umayer KhanⓉ
Black Bear	1st	Opening Government	View Ballot	Alain HumuraⒸ , Seniru Ruwanpura
Swing 2	2nd	Closing Opposition	View Ballot	Alain HumuraⒸ , Seniru Ruwanpura
Yamnuska Wolfdog Sanctuary	4th	Closing Government	View Ballot	Alain HumuraⒸ , Seniru Ruwanpura
Cowboy Boots	3rd	Opening Opposition	View Ballot	Alain HumuraⒸ , Seniru Ruwanpura
gReEn EnERgy TrAnSItIon	3rd	Opening Government	View Ballot	Gregory KwokⒸ , Rachel Kaup
Bandanas	2nd	Opening Opposition	View Ballot	Gregory KwokⒸ , Rachel Kaup
Heritage Park	4th	Closing Government	View Ballot	Gregory KwokⒸ , Rachel Kaup
The Calgary Tower	1st	Closing Opposition	View Ballot	Gregory KwokⒸ , Rachel Kaup
Oil Sector	3rd	Closing Opposition	View Ballot	Varun LodayaⒸ , Rithwik Bhattwar
Talus Dome	2nd	Opening Opposition	View Ballot	Varun LodayaⒸ , Rithwik Bhattwar
Canola Farming	1st	Opening Government	View Ballot	Varun LodayaⒸ , Rithwik Bhattwar
Wexit	4th	Closing Government	View Ballot	Varun LodayaⒸ , Rithwik Bhattwar
Prairie Parklands	4th	Closing Government	View Ballot	Chris TiessenⒸ , Diana Liu , Monmoy
Stampede	3rd	Opening Government	View Ballot	Chris TiessenⒸ , Diana Liu , Monmoy
West Edmonton Mall	2nd	Opening Opposition	View Ballot	Chris TiessenⒸ , Diana Liu , Monmoy
Nyanko Oil Warriors	1st	Closing Opposition	View Ballot	Chris TiessenⒸ , Diana Liu , Monmoy
BeaverTails	1st	Closing Government	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang , James Larkin
Northern Peatlands	3rd	Opening Opposition	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang , James Larkin
Mount Temple	2nd	Opening Government	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang , James Larkin
Bacon in Everything	4th	Closing Opposition	View Ballot	Neil Roy ChoudharyⒸ , Emma Zhang , James Larkin
Johnston Canyon	1st	Closing Government	View Ballot	Siddharth ChopraⒸ , Latisha Lau
Swing 3	4th	Closing Opposition	View Ballot	Siddharth ChopraⒸ , Latisha Lau
Wild Horses	3rd	Opening Opposition	View Ballot	Siddharth ChopraⒸ , Latisha Lau
Its always those damn liberals...	2nd	Opening Government	View Ballot	Siddharth ChopraⒸ , Latisha Lau
Telus Spark Centre	4th	Opening Opposition	View Ballot	Brayden GriffinⒸ , Emily Shi , Aaryan PatelⓉ
Beef Industry	1st	Closing Opposition	View Ballot	Brayden GriffinⒸ , Emily Shi , Aaryan PatelⓉ
Rogers Place	2nd	Opening Government	View Ballot	Brayden GriffinⒸ , Emily Shi , Aaryan PatelⓉ
Grizzly Bear	3rd	Closing Government	View Ballot	Brayden GriffinⒸ , Emily Shi , Aaryan PatelⓉ
Pipelines	4th	Closing Opposition	View Ballot	Hamza AzizⒸ , Karan Brar
Cowboy Hats	1st	Opening Opposition	View Ballot	Hamza AzizⒸ , Karan Brar
The River Valley	2nd	Closing Government	View Ballot	Hamza AzizⒸ , Karan Brar
Denim-on-Denim	3rd	Opening Government	View Ballot	Hamza AzizⒸ , Karan Brar
