Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Jack Story		UCL A	83	83	83	83	79	82	85	85	82	745	82.78	1.69
2	Kristjan Suuder	ESL	Tartu A	83	80	82	82	83	81	81	83	83	738	82.00	1.05
3=	David Safro	ESL	Ljubljana DM	77	82	82	84	81	82	83	85	80	736	81.78	2.20
3=	Rick Tan		UCL A	83	82	83	82	78	81	84	83	80	736	81.78	1.75
5	Sophie Hannigan		Cambridge A	84	79	82	79	82	78	83	84	82	733	81.44	2.11
6=	Max Rosen		Cambridge A	83	80	81	80	83	78	82	82	83	732	81.33	1.63
6=	Tanel Mütt	ESL	Tartu A	83	79	80	81	82	81	80	83	83	732	81.33	1.41
6=	Robert Armstrong		KCL A	82	82	81	81	80	82	82	80	82	732	81.33	0.82
6=	Max Papaioannides	ESL	Oxford A	78	80	77	82	81	84	83	83	84	732	81.33	2.40
10=	Novak Celebic	ESL	Belgrade LC	78	81	80	84	80	80	84	84	80	731	81.22	2.10
10=	Amitai Ben Porat	ESL	OpenU AA	80	79	80	84	83	81	82	84	78	731	81.22	2.04
12=	Aniket Godbole		LSE A	80	81	84	80	84	79	82	81	79	730	81.11	1.79
12=	Adrianne Ward		UCD L&amp;H A	82	78	80	82	82	84	77	83	82	730	81.11	2.18
14	Arjun Gunalan		LSE A	80	82	83	80	83	79	84	80	78	729	81.00	1.94
15=	Jagoda Sabljić	ESL	Zagreb A	82	82	82	81	78	81	78	84	80	728	80.89	1.85
15=	Robert Raos	ESL	Zagreb A	81	81	81	81	80	83	75	85	81	728	80.89	2.51
15=	Maj Hrovatin	ESL	Ljubljana DM	76	81	82	83	80	82	82	83	79	728	80.89	2.13
15=	Rob Fitzpatrick		UCD L&amp;H A	82	79	79	82	82	84	77	82	81	728	80.89	2.02
19=	Fraser McConachie		Cambridge B	78	83	84	81	81	81	81	81	77	727	80.78	2.04
19=	Darin Mansurbeg	ESL	Copenhagen A	79	83	78	80	85	82	82	81	77	727	80.78	2.39
19=	Joshua Stone		KCL A	84	82	81	80	80	81	82	76	81	727	80.78	2.04
19=	Petar Žnidar	ESL	Zagreb B	81	83	80	83	83	82	76	82	77	727	80.78	2.48
