team	result	side	ballot	adjudicators
Cambridge karen is this still part of your d	1st	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ , Henrietta Vanni , Marina Kojić
Cornell this is my mental health prep comp	3rd	Closing Opposition	View Ballot	Fiachra NolanⒸ , Mischa Watson , V Sayiram
Queen&#x27;s sheeping	4th	Opening Opposition	View Ballot	Đorđe RadosavljevićⒸ , Lucy McManus
Haifa Too many comps, not enough names	2nd	Opening Opposition	View Ballot	Lior FinkelmanⒸ , Ryosei Kobayashi , Toru Oga
Exeter Inferiority complEXE	3rd	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ , Henrietta Vanni , Marina Kojić
Exeter EXEtra - Ordinary	1st	Closing Opposition	View Ballot	Sudiksha AggarwalⒸ , Jessica Afi Fayose
LSE Brown Man shows White Boy what rea	2nd	Opening Opposition	View Ballot	Alex McCreadieⒸ , Brian Kam , Saatvik Dabral
LSE RIP Arthur you’d have enjoyed euro	4th	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Anubha Bal
St Andrews A(ll quarterbacks will break their	3rd	Closing Government	View Ballot	Ayal MorⒸ , Amitai Ben Porat , Ananya Krishna
St Andrews (-B ± √(B² - 4ac) )/2a	1st	Closing Opposition	View Ballot	Eli FerrellⒸ , Cordelia Thompson
UCD L&amp;H We could be a small company by EU	2nd	Opening Government	View Ballot	Jack StanleyⒸ , Anna Sawicka , Colson Merrill
UCD L&amp;H Hope we wake up for r1	1st	Closing Opposition	View Ballot	Đorđe RadosavljevićⒸ , Lucy McManus
BDU utilitarian arguments disguised as	4th	Closing Opposition	View Ballot	Jack StanleyⒸ , Anna Sawicka , Colson Merrill
BDU democratic principles disguised as	3rd	Opening Government	View Ballot	Sudiksha AggarwalⒸ , Jessica Afi Fayose
Princeton Kashmiri Pulao	4th	Opening Opposition	View Ballot	Helena HeckeⒸ , Anna Shreder , Katie Kiely
Princeton Pensive Meerkats	1st	Closing Government	View Ballot	Martha McKinney-PerryⒸ , Anubha Bal
EUDU B(asic, safe, vanilla sex @guu)	2nd	Opening Government	View Ballot	Đorđe RadosavljevićⒸ , Lucy McManus
