team	result	side	ballot	adjudicators
Cambridge karen is this still part of your d	4th	Closing Government	View Ballot	Marina KojićⒸ , Anubha Bal , Brian Kam
Cornell this is my mental health prep comp	2nd	Closing Government	View Ballot	Alex McCreadieⒸ , Shashwat Dash
Queen&#x27;s sheeping	1st	Closing Opposition	View Ballot	Atyia Al-HammudⒸ
Haifa Too many comps, not enough names	4th	Closing Opposition	View Ballot	Alex McCreadieⒸ , Shashwat Dash
Exeter EXEtra - Ordinary	4th	Closing Government	View Ballot	Helena HeckeⒸ , Kaushiki Ishwar
Exeter Inferiority complEXE	2nd	Closing Opposition	View Ballot	V SayiramⒸ , Colson Merrill , Henrietta Vanni
LSE Brown Man shows White Boy what rea	2nd	Closing Government	View Ballot	Pranav AnandⒸ , Ananya Krishna , Medhavini Singh
LSE RIP Arthur you’d have enjoyed euro	4th	Opening Opposition	View Ballot	V SayiramⒸ , Colson Merrill , Henrietta Vanni
St Andrews A(ll quarterbacks will break their	1st	Opening Government	View Ballot	Theo DorfnerⒸ , Cordelia Thompson , Fiachra Nolan
St Andrews (-B ± √(B² - 4ac) )/2a	3rd	Opening Government	View Ballot	Adam MallisⒸ , Teye Prince-Daniel
UCD L&amp;H We could be a small company by EU	3rd	Closing Opposition	View Ballot	Marina KojićⒸ , Anubha Bal , Brian Kam
UCD L&amp;H Hope we wake up for r1	4th	Opening Government	View Ballot	Đorđe RadosavljevićⒸ , Heather Ashworth
BDU democratic principles disguised as	4th	Closing Government	View Ballot	Atyia Al-HammudⒸ
BDU utilitarian arguments disguised as	1st	Closing Government	View Ballot	V SayiramⒸ , Colson Merrill , Henrietta Vanni
Princeton Pensive Meerkats	3rd	Opening Government	View Ballot	Pranav AnandⒸ , Ananya Krishna , Medhavini Singh
Princeton Kashmiri Pulao	1st	Closing Opposition	View Ballot	Anna ShrederⒸ , Eli Ferrell , Mischa Watson
EUDU B(asic, safe, vanilla sex @guu)	1st	Opening Opposition	View Ballot	Helena HeckeⒸ , Kaushiki Ishwar
TCD Hist Rehan and Ziyad	1st	Opening Government	View Ballot	Ayal MorⒸ , Jack Stanley , Nina McCartney
Imperial A(nother weekend)	2nd	Closing Government	View Ballot	Erasmus SegbefiaⒸ , Anna Sawicka , Katie Kiely
Imperial Principled Wankers	3rd	Opening Government	View Ballot	Anna ShrederⒸ , Eli Ferrell , Mischa Watson
GUU A(bsolutely can&#x27;t reference it)	3rd	Closing Opposition	View Ballot	Erasmus SegbefiaⒸ , Anna Sawicka , Katie Kiely
GUU C(an’t talk about that one thing)	2nd	Closing Government	View Ballot	Maya TamirⒸ , Sudiksha Aggarwal
GUU D(on’t even think about mentioning	3rd	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Amitai Ben Porat
DTU A	3rd	Opening Opposition	View Ballot	Ayal MorⒸ , Jack Stanley , Nina McCartney
UNWE Glasgow Ancients for poor people	1st	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Amitai Ben Porat
TCD Phil One of us was at Cop 26 in Glasgow	4th	Closing Government	View Ballot	Ayal MorⒸ , Jack Stanley , Nina McCartney
Zagreb Why dont you just meet me in the L	2nd	Closing Government	View Ballot	Anna ShrederⒸ , Eli Ferrell , Mischa Watson
TU Delft Liqian Legion	3rd	Opening Opposition	View Ballot	Maya TamirⒸ , Sudiksha Aggarwal
IIT Bombay South South Co-Operation	2nd	Opening Government	View Ballot	Alastair BowyerⒸ , Ryosei Kobayashi , Saatvik Dabral
Cambridge A(nalysis lacking)	3rd	Closing Opposition	View Ballot	Theo DorfnerⒸ , Cordelia Thompson , Fiachra Nolan
Sydney ESBD	1st	Opening Opposition	View Ballot	Alex McCreadieⒸ , Shashwat Dash
NMIMS Hate shitty foreign accents	3rd	Closing Opposition	View Ballot	Helena HeckeⒸ , Kaushiki Ishwar
Budapest The People	4th	Closing Government	View Ballot	Adam MallisⒸ , Teye Prince-Daniel
Stanford Average American moment	4th	Opening Government	View Ballot	Erasmus SegbefiaⒸ , Anna Sawicka , Katie Kiely
UCLA Khaki Shorts Respecters	2nd	Opening Government	View Ballot	Atyia Al-HammudⒸ
Cardiff Slavic! at the Disco	4th	Opening Opposition	View Ballot	Pranav AnandⒸ , Ananya Krishna , Medhavini Singh
Hart House bon appetit	1st	Opening Opposition	View Ballot	Adam MallisⒸ , Teye Prince-Daniel
Aberdeen She&#x27;s everything, he&#x27;s just Cal	4th	Opening Opposition	View Ballot	Anna ShrederⒸ , Eli Ferrell , Mischa Watson
Keio kawaii debaters	2nd	Opening Government	View Ballot	Helena HeckeⒸ , Kaushiki Ishwar
