team	result	side	ballot	adjudicators
Cambridge karen is this still part of your d	2nd	Opening Opposition	View Ballot	Adam MallisⒸ , Nina McCartney
Cornell this is my mental health prep comp	3rd	Opening Opposition	View Ballot	Alastair BowyerⒸ , Colson Merrill , Theo Dorfner
Queen&#x27;s sheeping	1st	Opening Opposition	View Ballot	Mischa WatsonⒸ
Haifa Too many comps, not enough names	4th	Closing Opposition	View Ballot	Alex McCreadieⒸ , Amitai Ben Porat , Katie Kiely
Exeter EXEtra - Ordinary	2nd	Opening Opposition	View Ballot	Henrietta VanniⒸ , Saatvik Dabral
Exeter Inferiority complEXE	4th	Closing Government	View Ballot	Jack StanleyⒸ , Lucy McManus , Shashwat Dash
LSE Brown Man shows White Boy what rea	1st	Opening Opposition	View Ballot	Alex McCreadieⒸ , Amitai Ben Porat , Katie Kiely
LSE RIP Arthur you’d have enjoyed euro	4th	Closing Opposition	View Ballot	Sudiksha AggarwalⒸ
St Andrews (-B ± √(B² - 4ac) )/2a	3rd	Closing Opposition	View Ballot	Fiachra NolanⒸ , Ananya Krishna , Teye Prince-Daniel
St Andrews A(ll quarterbacks will break their	3rd	Closing Government	View Ballot	Helena HeckeⒸ , Ryosei Kobayashi
UCD L&amp;H We could be a small company by EU	2nd	Opening Opposition	View Ballot	Martha McKinney-PerryⒸ , Heather Ashworth
UCD L&amp;H Hope we wake up for r1	1st	Opening Government	View Ballot	Fiachra NolanⒸ , Ananya Krishna , Teye Prince-Daniel
BDU democratic principles disguised as	2nd	Opening Government	View Ballot	Sudiksha AggarwalⒸ
BDU utilitarian arguments disguised as	4th	Closing Opposition	View Ballot	Đorđe RadosavljevićⒸ , Eli Ferrell
Princeton Pensive Meerkats	1st	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Heather Ashworth
Princeton Kashmiri Pulao	2nd	Opening Opposition	View Ballot	Jack StanleyⒸ , Lucy McManus , Shashwat Dash
EUDU B(asic, safe, vanilla sex @guu)	4th	Closing Opposition	View Ballot	Anna SawickaⒸ , Kaushiki Ishwar
TCD Hist Rehan and Ziyad	2nd	Closing Government	View Ballot	Pranav AnandⒸ , Anna Shreder , Toru Oga
Imperial Principled Wankers	2nd	Opening Opposition	View Ballot	Anna SawickaⒸ , Kaushiki Ishwar
Imperial A(nother weekend)	1st	Opening Government	View Ballot	Jack StanleyⒸ , Lucy McManus , Shashwat Dash
GUU C(an’t talk about that one thing)	2nd	Opening Opposition	View Ballot	Fiachra NolanⒸ , Ananya Krishna , Teye Prince-Daniel
GUU A(bsolutely can&#x27;t reference it)	4th	Opening Opposition	View Ballot	Erasmus SegbefiaⒸ , Atyia Al-Hammud
GUU D(on’t even think about mentioning	1st	Opening Government	View Ballot	Brian KamⒸ
DTU A	4th	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Heather Ashworth
UNWE Glasgow Ancients for poor people	4th	Closing Opposition	View Ballot	Helena HeckeⒸ , Ryosei Kobayashi
TCD Phil One of us was at Cop 26 in Glasgow	4th	Closing Government	View Ballot	Brian KamⒸ
Zagreb Why dont you just meet me in the L	2nd	Opening Government	View Ballot	Đorđe RadosavljevićⒸ , Eli Ferrell
TU Delft Liqian Legion	3rd	Closing Government	View Ballot	Sudiksha AggarwalⒸ
IIT Bombay South South Co-Operation	3rd	Closing Government	View Ballot	Anna SawickaⒸ , Kaushiki Ishwar
