team	result	side	ballot	adjudicators
LSE Soon Doon shoowdoown	1st	Closing Government	View Ballot	Alexandra McCreadieⒸ , Nir Kligsberg
LSE A	3rd	Opening Opposition	View Ballot	Martha McKinney-PerryⒸ , Benjamin J. Speth
KUA Waterloo, knowing my fate is to br	4th	Opening Opposition	View Ballot	Sudiksha AggarwalⒸ , Shachar Gold
RWTH Aachen THP the Potato icon	4th	Opening Opposition	View Ballot	Colson MerrillⒸ , Shachar Enteen
Zagreb A	2nd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Jack Williams , Mischa Watson
Weizmann K&amp;N	2nd	Opening Government	View Ballot	Colson MerrillⒸ , Shachar Enteen
Weizmann R&amp;D	4th	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Benjamin J. Speth
TAU Reut &amp; Emanuel	4th	Closing Opposition	View Ballot	Saatvik DabralⒸ , Vrinda Kudsia
UCD LawSoc (g)A(y chronically ill street chil	4th	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Henrietta Vanni , Lior Sokol
UCL B21	3rd	Closing Government	View Ballot	Colson MerrillⒸ , Shachar Enteen
HUJI B	4th	Opening Opposition	View Ballot	Heather AshworthⒸ , Dylan Brady
HUJI I&amp;M	1st	Closing Government	View Ballot	Sudiksha AggarwalⒸ , Shachar Gold
GUU D(ick infection)	2nd	Opening Opposition	View Ballot	Guyberli van ThuijlⒸ
GUU C(hlamydia)	3rd	Closing Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Katie Kiely
GUU Emm(A)	2nd	Closing Government	View Ballot	Saatvik DabralⒸ , Vrinda Kudsia
GUU Syphilis	1st	Closing Government	View Ballot	Martha McKinney-PerryⒸ , Benjamin J. Speth
TCD Hist Message us after the round for pic	1st	Opening Government	View Ballot	Saatvik DabralⒸ , Vrinda Kudsia
Cambridge karen is this still part of your d	2nd	Opening Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Katie Kiely
DTU SS	2nd	Closing Government	View Ballot	Heather AshworthⒸ , Dylan Brady
DTU A	2nd	Opening Government	View Ballot	Anna SawickaⒸ
St Andrews pron(A)talism stans	3rd	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Henrietta Vanni , Lior Sokol
Up for Debate India	1st	Closing Opposition	View Ballot	Anna SawickaⒸ
Berlin Bears	3rd	Closing Opposition	View Ballot	Heather AshworthⒸ , Dylan Brady
TCD Phil B	1st	Closing Opposition	View Ballot	Colson MerrillⒸ , Shachar Enteen
Cornell team	4th	Closing Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Katie Kiely
Stanford PesFTA	2nd	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Benjamin J. Speth
Stanford BQ	4th	Opening Opposition	View Ballot	Biser AngelovⒸ
Bucharest A	1st	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Henrietta Vanni , Lior Sokol
Bucharest B	2nd	Closing Opposition	View Ballot	Biser AngelovⒸ
Imperial A	1st	Closing Opposition	View Ballot	Guyberli van ThuijlⒸ
Imperial Maybe we wouldn&#x27;t be such feminist	3rd	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Nir Kligsberg
Warsaw Alas boyfriend and his girlfriend	4th	Closing Government	View Ballot	Guyberli van ThuijlⒸ
UCD L&amp;H Novices? More like nobitches 😎	3rd	Closing Opposition	View Ballot	Sudiksha AggarwalⒸ , Shachar Gold
UCD L&amp;H (A)ren&#x27;t you guys the convenors? n	4th	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Nir Kligsberg
UCD L&amp;H Who is Earl and why does he have a	2nd	Opening Government	View Ballot	Alexandra McCreadieⒸ , Nir Kligsberg
Oxford the Greatest Gunslingers do	3rd	Opening Government	View Ballot	Guyberli van ThuijlⒸ
Dumbfuck Daniel	1st	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Jack Williams , Mischa Watson
Yet another Canadian job stolen by	4th	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Jack Williams , Mischa Watson
British Paramilitary debating	3rd	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Jack Williams , Mischa Watson
The dark poet and the unbearable r	1st	Opening Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Katie Kiely
Swang	3rd	Closing Opposition	View Ballot	Jack StanleyⒸ , Nina McCartney
mom harem	2nd	Closing Government	View Ballot	Jack StanleyⒸ , Nina McCartney
NU S	4th	Opening Opposition	View Ballot	Jack StanleyⒸ , Nina McCartney
Troy &amp; Abed In the Morning	1st	Opening Government	View Ballot	Jack StanleyⒸ , Nina McCartney
Raven Hedgehog	2nd	Opening Government	View Ballot	Sudiksha AggarwalⒸ , Shachar Gold
UW Blackpink	3rd	Opening Opposition	View Ballot	Saatvik DabralⒸ , Vrinda Kudsia
Persuade Us	4th	Closing Government	View Ballot	Anna SawickaⒸ
Young Korean boys from everywhere	3rd	Opening Opposition	View Ballot	Anna SawickaⒸ
Swing	1st	Opening Government	View Ballot	Heather AshworthⒸ , Dylan Brady
Big Academic Words and High-Burden	2nd	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Henrietta Vanni , Lior Sokol
3x the charm	3rd	Closing Government	View Ballot	Biser AngelovⒸ
can we go as ‘asian debate hyperac	1st	Opening Government	View Ballot	Biser AngelovⒸ
