team	result	side	ballot	adjudicators
LSE A	1st	Opening Government	View Ballot	Alexandra McCreadieⒸ , Colson Merrill
LSE Soon Doon shoowdoown	1st	Closing Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Ryosei Kobayashi
KUA Waterloo, knowing my fate is to br	4th	Closing Government	View Ballot	Saatvik DabralⒸ , Nina McCartney
RWTH Aachen THP the Potato icon	4th	Closing Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Ryosei Kobayashi
Zagreb A	1st	Closing Opposition	View Ballot	Martha McKinney-PerryⒸ , Shachar Gold
Weizmann K&amp;N	3rd	Opening Government	View Ballot	Saatvik DabralⒸ , Nina McCartney
Weizmann R&amp;D	3rd	Opening Opposition	View Ballot	Zach Godley-McAvoyⒸ , Anna Sawicka
TAU Reut &amp; Emanuel	3rd	Opening Opposition	View Ballot	Ananya VenkatesanⒸ , Guyberli van Thuijl
UCD LawSoc (g)A(y chronically ill street chil	2nd	Opening Opposition	View Ballot	Olja BošnjakⒸ , Dylan Brady
UCL B21	4th	Closing Government	View Ballot	Lior SokolⒸ , Katie Kiely , Vrinda Kudsia
HUJI I&amp;M	3rd	Opening Government	View Ballot	Sudiksha AggarwalⒸ , Heather Ashworth
HUJI B	4th	Closing Opposition	View Ballot	Alexandra McCreadieⒸ , Colson Merrill
GUU C(hlamydia)	2nd	Closing Opposition	View Ballot	Lior SokolⒸ , Katie Kiely , Vrinda Kudsia
GUU Emm(A)	3rd	Opening Government	View Ballot	Nir KligsbergⒸ , Benjamin J. Speth
GUU Syphilis	3rd	Opening Opposition	View Ballot	Jack StanleyⒸ , Henrietta Vanni , Ivan ZhelevⓉ
GUU D(ick infection)	3rd	Opening Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Ryosei Kobayashi
TCD Hist Message us after the round for pic	2nd	Closing Government	View Ballot	Ananya VenkatesanⒸ , Guyberli van Thuijl
Cambridge karen is this still part of your d	4th	Closing Government	View Ballot	Jack StanleyⒸ , Henrietta Vanni , Ivan ZhelevⓉ
DTU A	2nd	Closing Opposition	View Ballot	Nir KligsbergⒸ , Benjamin J. Speth
DTU SS	4th	Opening Government	View Ballot	Ananya VenkatesanⒸ , Guyberli van Thuijl
St Andrews pron(A)talism stans	1st	Closing Opposition	View Ballot	Olja BošnjakⒸ , Dylan Brady
Up for Debate India	4th	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Anna Sawicka
Berlin Bears	4th	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Mischa Watson , Shachar EnteenⓉ
TCD Phil B	4th	Opening Opposition	View Ballot	Nir KligsbergⒸ , Benjamin J. Speth
Cornell team	2nd	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Mischa Watson , Shachar EnteenⓉ
Stanford PesFTA	2nd	Opening Opposition	View Ballot	Biser AngelovⒸ , Jack Williams , Maya Tamir
Stanford BQ	2nd	Opening Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Ryosei Kobayashi
Bucharest A	1st	Opening Government	View Ballot	Biser AngelovⒸ , Jack Williams , Maya Tamir
Bucharest B	1st	Closing Opposition	View Ballot	Ananya VenkatesanⒸ , Guyberli van Thuijl
Imperial A	3rd	Opening Opposition	View Ballot	Lior SokolⒸ , Katie Kiely , Vrinda Kudsia
