team	result	side	ballot	adjudicators
LSE A	1st	Closing Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Nina McCartney
LSE Soon Doon shoowdoown	2nd	Opening Opposition	View Ballot	Ananya VenkatesanⒸ , Benjamin J. Speth , Saatvik Dabral
KUA Waterloo, knowing my fate is to br	4th	Opening Government	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
RWTH Aachen THP the Potato icon	3rd	Opening Government	View Ballot	Ananya VenkatesanⒸ , Benjamin J. Speth , Saatvik Dabral
Zagreb A	1st	Closing Government	View Ballot	Nir KligsbergⒸ , Vrinda Kudsia
Weizmann R&amp;D	2nd	Opening Government	View Ballot	Alexandra McCreadieⒸ , Guyberli van Thuijl
Weizmann K&amp;N	4th	Closing Government	View Ballot	Biser AngelovⒸ , Dylan Brady
TAU Reut &amp; Emanuel	3rd	Opening Government	View Ballot	Biser AngelovⒸ , Dylan Brady
UCD LawSoc (g)A(y chronically ill street chil	1st	Closing Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Henrietta Vanni , Shachar Gold
UCL B21	4th	Opening Opposition	View Ballot	Mukhtar TashkenbayevⒸ , Henrietta Vanni , Shachar Gold
HUJI I&amp;M	3rd	Opening Opposition	View Ballot	Erasmus Mawuli SegbefiaⒸ , Nina McCartney
HUJI B	2nd	Opening Government	View Ballot	Mukhtar TashkenbayevⒸ , Henrietta Vanni , Shachar Gold
GUU Syphilis	1st	Opening Government	View Ballot	Martha McKinney-PerryⒸ , Rahul Datta
GUU C(hlamydia)	4th	Opening Government	View Ballot	Jack StanleyⒸ , Maya Tamir , Shachar Enteen
GUU Emm(A)	2nd	Closing Government	View Ballot	Erasmus Mawuli SegbefiaⒸ , Nina McCartney
GUU D(ick infection)	1st	Closing Opposition	View Ballot	Ryosei KobayashiⒸ , Anna Sawicka
TCD Hist Message us after the round for pic	4th	Closing Opposition	View Ballot	Nir KligsbergⒸ , Vrinda Kudsia
Cambridge karen is this still part of your d	2nd	Opening Opposition	View Ballot	Olja BošnjakⒸ , Colson Merrill , Ivan ZhelevⓉ
DTU A	2nd	Opening Opposition	View Ballot	Ryosei KobayashiⒸ , Anna Sawicka
DTU SS	4th	Opening Opposition	View Ballot	Alexandra McCreadieⒸ , Guyberli van Thuijl
St Andrews pron(A)talism stans	1st	Opening Opposition	View Ballot	Jack StanleyⒸ , Maya Tamir , Shachar Enteen
Up for Debate India	4th	Closing Government	View Ballot	Lior SokolⒸ , Heather Ashworth
Berlin Bears	2nd	Opening Opposition	View Ballot	Biser AngelovⒸ , Dylan Brady
TCD Phil B	4th	Closing Government	View Ballot	Ananya VenkatesanⒸ , Benjamin J. Speth , Saatvik Dabral
Cornell team	2nd	Opening Government	View Ballot	Nir KligsbergⒸ , Vrinda Kudsia
Stanford PesFTA	2nd	Closing Opposition	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
Stanford BQ	3rd	Closing Government	View Ballot	Zach Godley-McAvoyⒸ , Katie Kiely
Bucharest B	2nd	Opening Opposition	View Ballot	Sudiksha AggarwalⒸ , Mischa Watson
Bucharest A	2nd	Opening Opposition	View Ballot	Lior SokolⒸ , Heather Ashworth
Imperial Maybe we wouldn&#x27;t be such feminist	3rd	Closing Government	View Ballot	Jack StanleyⒸ , Maya Tamir , Shachar Enteen
Imperial A	3rd	Closing Government	View Ballot	Mukhtar TashkenbayevⒸ , Henrietta Vanni , Shachar Gold
