team	result	side	ballot	adjudicators
Sofia A	1st	Opening Government	View Ballot	Miriam KalmanⒸ , Josef Moscovici
Wait you’re not Emery	2nd	Opening Opposition	View Ballot	Miriam KalmanⒸ , Josef Moscovici
Ho Chi Minh City on 27th Dec? We&#x27;re	4th	Closing Government	View Ballot	Miriam KalmanⒸ , Josef Moscovici
Stanford Mostly Harmless	3rd	Closing Opposition	View Ballot	Miriam KalmanⒸ , Josef Moscovici
Hart House where there&#x27;s a Will there&#x27;s a Wei	4th	Opening Government	View Ballot	Craig McDonaldⒸ , Lucie Slamova
Belgrade 1	3rd	Opening Opposition	View Ballot	Craig McDonaldⒸ , Lucie Slamova
LSE Budget nathaniel yoon	2nd	Closing Government	View Ballot	Craig McDonaldⒸ , Lucie Slamova
KCL (A)lready on our knees for Daddy, s	1st	Closing Opposition	View Ballot	Craig McDonaldⒸ , Lucie Slamova
GUU C(owgirl)	2nd	Opening Government	View Ballot	Owen GoodacreⒸ , Teye Prince-Daniel
Hart House Trenta Iced Piss	3rd	Opening Opposition	View Ballot	Owen GoodacreⒸ , Teye Prince-Daniel
maet deltitnu	4th	Closing Government	View Ballot	Owen GoodacreⒸ , Teye Prince-Daniel
Tel Aviv B	1st	Closing Opposition	View Ballot	Owen GoodacreⒸ , Teye Prince-Daniel
Tora and Aru	4th	Opening Government	View Ballot	UzairⒸ , Ethan John Floro , Lucy McManus
the nature of humanity is just tha	1st	Opening Opposition	View Ballot	UzairⒸ , Ethan John Floro , Lucy McManus
Swing A	2nd	Closing Government	View Ballot	UzairⒸ , Ethan John Floro , Lucy McManus
Queen&#x27;s the shepherd	3rd	Closing Opposition	View Ballot	UzairⒸ , Ethan John Floro , Lucy McManus
Team name	1st	Opening Government	View Ballot	Matthew GodsloveⒸ , Raihan Rahman
It is important to note that a vic	3rd	Opening Opposition	View Ballot	Matthew GodsloveⒸ , Raihan Rahman
Give me a VPN	4th	Closing Government	View Ballot	Matthew GodsloveⒸ , Raihan Rahman
Tel Aviv A	2nd	Closing Opposition	View Ballot	Matthew GodsloveⒸ , Raihan Rahman
Eels in the gun range 🔫	3rd	Opening Government	View Ballot	Ilija IvanisevicⒸ , Atiya Al-Hammud , Jacob Laznik
Don’t SchSh us	1st	Opening Opposition	View Ballot	Ilija IvanisevicⒸ , Atiya Al-Hammud , Jacob Laznik
Swing B	4th	Closing Government	View Ballot	Ilija IvanisevicⒸ , Atiya Al-Hammud , Jacob Laznik
Gaining Social and Cultural Capita	2nd	Closing Opposition	View Ballot	Ilija IvanisevicⒸ , Atiya Al-Hammud , Jacob Laznik
HUJI Matterdumping Gambit	3rd	Opening Government	View Ballot	Katharina Margareta JansenⒸ , Colson Merrill , Hans Jauch
CSI: Escape from the Germans	2nd	Opening Opposition	View Ballot	Katharina Margareta JansenⒸ , Colson Merrill , Hans Jauch
Queen&#x27;s Bagel fuckers	4th	Closing Government	View Ballot	Katharina Margareta JansenⒸ , Colson Merrill , Hans Jauch
Weizmann No Titles in Our Speeches	1st	Closing Opposition	View Ballot	Katharina Margareta JansenⒸ , Colson Merrill , Hans Jauch
Hart House D	1st	Opening Government	View Ballot	Klaudia MaciejewskaⒸ , Ahmed El Sammak , Ofri Raz
Harvard/Princeton MR	2nd	Opening Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ahmed El Sammak , Ofri Raz
St Andrews In Debateland, delta finds you	3rd	Closing Government	View Ballot	Klaudia MaciejewskaⒸ , Ahmed El Sammak , Ofri Raz
we cum quick cause we have fish to	4th	Closing Opposition	View Ballot	Klaudia MaciejewskaⒸ , Ahmed El Sammak , Ofri Raz
Haifa Uri Zakai kicked Chuck Norris	4th	Opening Government	View Ballot	Biser AngelovⒸ , Inbal Geva , Lovro Marušić
St Andrews I hit my peak at 7 (minutes)	2nd	Opening Opposition	View Ballot	Biser AngelovⒸ , Inbal Geva , Lovro Marušić
