Rk	name	category	team	institution	R1	R2	R3	R4	R5	Total	Avg	Stdev
149=	Rance Tamayo	Novice	Paid Churro	UPD	78	75	80	—	77	310	77.50	1.80
149=	ThePhuong Tran		Monday Spar	—	77	82	75	76	—	310	77.50	2.69
152=	June Zhang		FanbaseofXiaoke	—	77	76	76	78	—	307	76.75	0.83
152=	Arya Ramesh	Novice	A2A Debaters	CUB	75	77	77	78	—	307	76.75	1.09
152=	Yash Chogle	Novice	Team Redundancy Team	BITSP	78	77	78	74	—	307	76.75	1.64
152=	Neil Chaturvedi	Novice	Team Redundancy Team	BITSP	77	77	77	76	—	307	76.75	0.43
156	Jamy Huang		FanbaseofXiaoke	—	76	76	77	77	—	306	76.50	0.50
157	Sidhi indoria	Novice	Pados ki auntiyan	MNLU	—	76	79	75	75	305	76.25	1.64
158	Arav akolkar	Novice	Pados ki auntiyan	MNLU	—	75	78	75	75	303	75.75	1.30
159=	Kshipra Sharma	Novice	Crispy dosa	GLCM	75	75	—	75	74	299	74.75	0.43
159=	Aashi Jain	Novice	Nehal Yadav	DNLU	72	76	74	77	—	299	74.75	1.92
161	Divyank Dewan	Novice	Not Bad Debaters	NLIUB	74	75	74	75	—	298	74.50	0.50
162	Teesha Pardasani	Novice	That&#x27;s Irrelephant	RCL	71	73	—	78	75	297	74.25	2.59
163=	Abhiraj Singh	Novice	Not Bad Debaters	NLIUB	73	74	73	75	—	295	73.75	0.83
163=	Nehal yadav	Novice	Nehal Yadav	DNLU	71	75	74	75	—	295	73.75	1.64
165	Nguyen Le Tuan Kiet	Novice	Monday Spar	—	—	82	76	75	—	233	77.67	3.09
166	Speaker 2		Swing 1	—	—	76	—	77	73	226	75.33	1.70
167	Speaker 1		Swing 2	—	76	73	—	—	75	224	74.67	1.25
168	Speaker 2		Swing 2	—	75	72	—	—	76	223	74.33	1.70
169	Redacted	Novice	—	—	74	71	—	—	77	222	74.00	2.45
170	Asmita Pandey	Novice	Debate Nerds	GLCM	71	75	—	75	—	221	73.67	1.89
171	Speaker 2		Swing 5	—	78	—	—	—	76	154	77.00	1.00
172	Arrian Samsul	Novice	Malaysia For Dummies	—	76	77	—	—	—	153	76.50	0.50
173=	Speaker 1		Swing 5	—	78	—	—	—	74	152	76.00	2.00
173=	Imran Ilmam		Malaysia For Dummies	—	75	77	—	—	—	152	76.00	1.00
175	Speaker 1		Swing 4	—	76	—	—	—	75	151	75.50	0.50
176=	T S VENKAT NARAYANAN	Novice	Rangeen kapda bhi kheel kheel jaye	VIT	73	—	—	—	77	150	75.00	2.00
176=	Prithvi menon	Novice	Rangeen kapda bhi kheel kheel jaye	VIT	74	—	—	—	76	150	75.00	1.00
176=	Speaker 1		Swing 3	—	76	—	—	—	74	150	75.00	1.00
179=	A Sridhar Sharma	Novice	Breaking Bad	HNLU	75	74	—	—	—	149	74.50	0.50
179=	Yash Tulsian	Novice	The Invincibles	SXCK	74	75	—	—	—	149	74.50	0.50
179=	Riya Jain	Novice	The Invincibles	SXCK	75	74	—	—	—	149	74.50	0.50
182	Adveer Singh Narang	Novice	Breaking Bad	HNLU	74	74	—	—	—	148	74.00	0.00
183	Kumar Kishlay	Novice	KKAD-BURY	HNLU	77	—	—	—	—	77	77.00	0.00
184	Aaditya Das	Novice	KKAD-BURY	HNLU	76	—	—	—	—	76	76.00	0.00
185	Speaker 2		Swing 3	—	—	—	—	—	75	75	75.00	0.00
186=	Speaker 2		Swing 4	—	—	—	—	—	72	72	72.00	0.00
186=	Speaker 1		Swing 6	—	—	—	—	—	72	72	72.00	0.00
188	Speaker 2		Swing 6	—	—	—	—	—	71	71	71.00	0.00
