Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Jack Synnott		TCD Hist A	82	84	82	84	83	82	84	84	83	748	83.11	0.87
2	Caoimhin Hamill		TCD Hist A	81	83	83	83	82	81	84	84	82	743	82.56	1.07
3=	Ana Vilhelmina Verdnik		LSE A	81	82	81	79	80	81	80	82	87	733	81.44	2.17
3=	Rachel O&#x27;Nunain		Oxford B	80	84	77	82	81	83	81	83	82	733	81.44	1.95
5	Taha Iqbal		LSE A	78	82	82	80	81	82	80	82	85	732	81.33	1.83
6=	Josh Kemp		LSE B	77	83	81	81	80	83	80	82	81	728	80.89	1.73
6=	Oskar Sherry		Oxford B	80	82	78	81	80	83	80	82	82	728	80.89	1.45
8	Jason Woods		Edinburgh A	82	82	80	82	80	83	80	80	77	726	80.67	1.70
9	Tamar Ben Meir	ESL	HUJI B	77	80	81	82	80	83	80	80	82	725	80.56	1.64
10=	Andrew Chen		Oxford A	81	81	82	82	81	80	79	79	79	724	80.44	1.17
10=	Kuberan Hansrajh Kumaresan	ESL	Oxford A	81	81	80	82	83	78	78	80	81	724	80.44	1.57
12=	Keerthana Bathula		LSE B	78	81	80	80	78	83	80	82	81	723	80.33	1.56
12=	Josh Freeman		UCL A	81	80	82	79	82	81	81	77	80	723	80.33	1.49
12=	Cerys Walsh		Edinburgh A	82	83	80	80	79	83	79	79	78	723	80.33	1.76
12=	Gil Peled	ESL	TAU A	81	81	81	81	81	80	76	82	80	723	80.33	1.63
16=	Chris Mentis Cravaris	ESL	Imperial A	83	79	78	79	81	80	80	81	81	722	80.22	1.40
16=	Emily Frizell		Birkbeck A	80	81	79	81	83	82	77	78	81	722	80.22	1.81
16=	Tom Robinson		UCL A	80	81	82	78	78	82	80	78	83	722	80.22	1.81
16=	Assaph Hanany	ESL	TAU A	82	80	81	82	82	80	75	80	80	722	80.22	2.04
20=	Ivan Kapelyukh		Imperial A	82	79	79	79	80	80	80	80	81	720	80.00	0.94
20=	Matej Ballaty		GUU C	79	80	80	80	78	82	82	78	81	720	80.00	1.41
22	Olja Bošnjak	ESL	Zagreb A	77	77	82	81	83	80	78	79	81	718	79.78	2.04
23=	Gabrielle Fullam		TCD Hist B	78	80	81	79	79	81	81	78	80	717	79.67	1.15
23=	Alexander Fraser		GUU C	78	80	79	79	78	82	81	78	82	717	79.67	1.56
25=	Lior Sokol	ESL	HUJI B	79	77	80	80	78	81	79	79	83	716	79.56	1.64
25=	Rok Hafner	ESL	Ljubljana HK	80	77	83	80	78	77	81	81	79	716	79.56	1.89
27=	Jack Williams		TCD Hist B	77	79	80	78	78	81	80	80	80	713	79.22	1.23
27=	Dylan McCarthy		Phil A	80	81	75	81	77	80	78	79	82	713	79.22	2.10
27=	Josef Moscovici	ESL	BDU C	82	77	78	80	76	77	84	81	78	713	79.22	2.53
27=	Daan Spackler	ESL	Trivium A	78	79	80	82	77	80	81	79	77	713	79.22	1.62
27=	Braedon Lehman		Berlin LS	82	79	76	78	81	78	80	81	78	713	79.22	1.81
32=	Siddharth Pai	ESL	Cambridge C	78	80	77	76	82	81	80	77	81	712	79.11	2.02
32=	Goh Han Yang		Cambridge A	78	80	78	78	78	79	82	81	78	712	79.11	1.45
32=	Jack Palmer		Phil A	80	80	77	80	78	79	76	80	82	712	79.11	1.73
32=	Petar Zec	ESL	Zagreb A	77	78	80	81	82	79	78	78	79	712	79.11	1.52
32=	Miri Muntean	ESL	Vienna A	77	78	79	77	78	80	81	82	80	712	79.11	1.66
37=	Filip Korošec	ESL	Ljubljana HK	80	77	83	79	77	78	79	81	77	711	79.00	1.94
37=	Đorđe Radosavljević	ESL	Belgrade A	76	79	76	80	81	81	81	82	75	711	79.00	2.49
37=	Julie Nyerges		GUU A	79	81	80	80	77	81	77	76	80	711	79.00	1.76
40=	Zahari Nickolaev	ESL	Cambridge C	76	79	78	77	82	81	81	76	80	710	78.89	2.13
40=	Nikola Michaylov	ESL	Leiden A	80	78	78	79	78	79	77	81	80	710	78.89	1.20
40=	Emma Chan		GUU A	80	80	81	78	77	80	77	78	79	710	78.89	1.37
43=	Jonathan Yap		Cambridge A	77	79	79	78	77	78	82	82	77	709	78.78	1.87
43=	Triinu Jõgi	ESL	Sheffield A	79	81	75	79	80	83	75	80	77	709	78.78	2.53
45=	Vicki Reif-Breitwieser		Sheffield A	77	80	76	81	80	82	76	79	77	708	78.67	2.11
45=	Marius Buga	ESL	KCL A	77	79	77	82	82	76	80	78	77	708	78.67	2.11
45=	Nadav Barak	ESL	Technion B	77	78	80	79	80	74	82	81	77	708	78.67	2.31
45=	Novak Čelebić	ESL	Belgrade A	77	79	76	78	80	80	82	81	75	708	78.67	2.21
49=	Oleh Stoiev	ESL	Kyiv A	79	79	78	76	81	80	78	80	76	707	78.56	1.64
49=	Pjotr Koster	ESL	Trivium A	79	79	78	82	78	78	79	78	76	707	78.56	1.50
51=	Alexandr Susic	ESL	Edinburgh C	76	79	81	77	81	77	78	81	76	706	78.44	2.01
51=	Wajeeh Maaz		KCL B	78	81	78	77	81	77	79	76	79	706	78.44	1.64
53=	Andrii Chumachov	ESL	Kyiv A	78	79	78	76	81	80	78	79	76	705	78.33	1.56
53=	Maciej Tarnowski	ESL	Warsaw A	76	78	77	77	82	75	82	79	79	705	78.33	2.31
53=	Franka Boender	ESL	Leiden B	77	81	79	78	79	77	80	77	77	705	78.33	1.41
53=	Petar Žnidar	ESL	Zagreb B	79	78	84	76	80	77	78	76	77	705	78.33	2.36
57	Yusuf Steel		Manchester A	77	78	78	79	78	79	80	78	77	704	78.22	0.92
58=	Olga Enikeeva		Imperial B	75	79	78	77	82	77	81	78	76	703	78.11	2.13
58=	Marc Schulz	ESL	Berlin LS	79	79	76	77	81	77	79	79	76	703	78.11	1.59
60=	Gwylim Taylor		Birkbeck A	79	79	76	79	81	79	76	76	77	702	78.00	1.70
60=	Sébastien Dunne Fulmer		TCD Hist C	75	79	79	82	76	76	79	81	75	702	78.00	2.45
60=	Michał Kruszyński	ESL	Warsaw A	76	79	78	76	81	75	80	79	78	702	78.00	1.89
60=	Prashasti Saxena	ESL	KCL A	77	78	77	82	80	77	79	77	75	702	78.00	1.94
60=	Sarah Dewar		GUU B	77	74	79	80	79	77	81	79	76	702	78.00	2.05
