name	institution	adjcore	independent
Lior Sokol	HUJI		
Gazi Mahtab	—		
Diggory Waddle	—		
Nikola Michaylov	—		
Anna Sawicka	TCD Hist		
Simon Luo	USMA		
Atyia Al-Hammud	—		
Aymaan Sheikh	EUDU		
Sudiksha Aggarwal	—		
Prashasti Saxena	—		
Nar Sher May	—		
Aniket Chakravorty	—		
Davida Paul	—		
Xiao-Ke Lu	Princeton		
Ayal Mor	Haifa		
Ogundare Taye Oluwatobilola	—		
Chinmaya Mohan	—		
Lucy McManus	—		
Craig McDonald	—		
Michael Warren	McGill		
Zach Godley-McAvoy	Aberystwyth		
Flora Baek	—		
Lara Dragojević	—		
Velina Andonova	Sofia		
Juanita Hincapie Restrepo	Rosario		
Eric Kazadi	—		
Jane Mentzinger	Princeton		
Dino Wildi	—		
Alek Selveliev	—		
Paula Breyer	—		
Shaun Lee	—		
Klaudia Maciejewska	—		
Rushdoon Ahmed	—		
Theo Dorfner	—		
Grant Chen	Chicago		
Zi Cheng (Sam) Huang	—		
Alexander Fraser	—		
Alexandra McCreadie	—		
Daan Spackler	—		
Rahul	Princeton		
Jack Palmer	—		
Shireen Ali	Sunway		
Revan Lim TJ	—		
Meg Kandarpa	—		
Pranav Anand	—		
Diego Duarte	—		
Alastair Bowyer	—		
