name	institution	adjcore	independent
Lucy McManus	—		
Beatrice Cuizon	—		
Lovro Marusic	—		
Or Toledano	—		
Yael Wolff	—		
Ibrahim Ejaz	—		
Arpi Yang	—		
Sudiksha Aggarwal	—		
Theo Dorfner	—		
Lior Sokol	—		
Paolo Taino	—		
Olja Bošnjak	—		
Dylan McCarthy	—		
Geneva Roy	—		
William Smith	—		
Nathaniel Yoon	—		
Ilija Ivanisevic	—		
Klaudia Maciejewska	—		
Andrew Chen	—		
Sher May Nar	—		
Emery Taylor	—		
Lucie Slamova	—		
Lucy Murphy	—		
