team	result	side	ballot	adjudicators
UAP BBL Drizzy	3rd	Opening Opposition	View Ballot	Brian KamⒸ , Shuvajyoti Kar
Untitled Pre ABP	2nd	Opening Government	View Ballot	Brian KamⒸ , Shuvajyoti Kar
Manchester Special Detachment	4th	Closing Opposition	View Ballot	Brian KamⒸ , Shuvajyoti Kar
Swing Thundercat	1st	Closing Government	View Ballot	Brian KamⒸ , Shuvajyoti Kar
Athens A	1st	Opening Opposition	View Ballot	Aymaan SheikhⒸ , Kashfia Binte Hassan
Tartu B	4th	Closing Government	View Ballot	Aymaan SheikhⒸ , Kashfia Binte Hassan
Exeter Neither Average Nor Intelligent	2nd	Closing Opposition	View Ballot	Aymaan SheikhⒸ , Kashfia Binte Hassan
USTC	3rd	Opening Government	View Ballot	Aymaan SheikhⒸ , Kashfia Binte Hassan
Lara i Lovro	4th	Opening Government	View Ballot	Matthew ToomeyⒸ , Lwandle Ntshangase
HWS Mileyfanclub	3rd	Closing Government	View Ballot	Matthew ToomeyⒸ , Lwandle Ntshangase
Kings College London It’s better than LSE	1st	Closing Opposition	View Ballot	Matthew ToomeyⒸ , Lwandle Ntshangase
Queen’s QDU A	2nd	Opening Opposition	View Ballot	Matthew ToomeyⒸ , Lwandle Ntshangase
GUU But I&#x27;m not aroused — it&#x27;s only ca	3rd	Opening Government	View Ballot	Fiachra NolanⒸ , Hibiki Okada , Oladi Gabisi
TCD Hist We are running away from our respo	1st	Opening Opposition	View Ballot	Fiachra NolanⒸ , Hibiki Okada , Oladi Gabisi
Swing Keem	4th	Closing Government	View Ballot	Fiachra NolanⒸ , Hibiki Okada , Oladi Gabisi
Swing Jay Rock	2nd	Closing Opposition	View Ballot	Fiachra NolanⒸ , Hibiki Okada , Oladi Gabisi
EUDU Pain isn’t real, its all in your h	1st	Opening Opposition	View Ballot	Sourodip PaulⒸ , Ishan Saikia
Oxford GG	2nd	Closing Opposition	View Ballot	Sourodip PaulⒸ , Ishan Saikia
EUDU If we can&#x27;t win, (B)a(f)fle	3rd	Opening Government	View Ballot	Sourodip PaulⒸ , Ishan Saikia
NU SA	4th	Closing Government	View Ballot	Sourodip PaulⒸ , Ishan Saikia
An Irish commie and a Bulgarian fa	2nd	Opening Opposition	View Ballot	Sarenna McKellarⒸ , Rose Zhou
LSE A	1st	Closing Government	View Ballot	Sarenna McKellarⒸ , Rose Zhou
Aberystwyth (A) boy from Wales called Gareth B	3rd	Closing Opposition	View Ballot	Sarenna McKellarⒸ , Rose Zhou
Zagreb A	4th	Opening Government	View Ballot	Sarenna McKellarⒸ , Rose Zhou
Better enemy to friend arc than Bri	4th	Opening Government	View Ballot	Prosper Michael AmetuⒸ , Saatvik Dabral
McGill When Humie met Andy	1st	Opening Opposition	View Ballot	Prosper Michael AmetuⒸ , Saatvik Dabral
Yale milei haters	2nd	Closing Government	View Ballot	Prosper Michael AmetuⒸ , Saatvik Dabral
TCD Phil KoKelly Fella	3rd	Closing Opposition	View Ballot	Prosper Michael AmetuⒸ , Saatvik Dabral
Only here to outtab our A Team	2nd	Opening Government	View Ballot	Jack PalmerⒸ , Minahil Hamdani
Kings College London this time we have bitches	3rd	Opening Opposition	View Ballot	Jack PalmerⒸ , Minahil Hamdani
Josh says no making pasta at 2 AM	1st	Closing Government	View Ballot	Jack PalmerⒸ , Minahil Hamdani
One day, One Dream	4th	Closing Opposition	View Ballot	Jack PalmerⒸ , Minahil Hamdani
