Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Matthew Toomey		Sydney C	81	83	83	86	85	80	84	85	84	751	83.44	1.83
2=	Tejas Subramaniam		Stanford A	82	84	83	87	84	83	82	80	85	750	83.33	1.89
2=	Ryan Lafferty		Dartmouth A	84	79	81	85	83	84	85	85	84	750	83.33	1.94
2=	Charlie Ryan		Sydney C	81	82	82	86	84	81	84	86	84	750	83.33	1.83
5=	Udai Kamath		Sydney B	82	84	81	82	82	85	85	86	81	748	83.11	1.79
5=	Jack Story		Sydney B	81	84	81	83	81	85	84	86	83	748	83.11	1.73
7	Amitai Ben Porat	English as a Second Language	OpenU A	83	81	83	82	82	87	81	83	83	745	82.78	1.69
8	Conna Leslie-Keefe		UNSW A	81	83	84	82	83	82	83	84	82	744	82.67	0.94
9	Elena Rădulescu	English as a Second Language	Oxford A	81	80	83	86	80	80	83	84	85	742	82.44	2.17
10	Lachie Doyle		UNSW A	80	82	84	81	82	81	83	85	83	741	82.33	1.49
11=	Sophie Shead		Sydney A	82	84	81	82	80	78	83	86	84	740	82.22	2.25
11=	Elinor Stephenson		Sydney A	81	83	83	81	79	80	83	88	82	740	82.22	2.44
13=	Aidan Young Je Woo		Oxford A	81	81	82	85	81	79	82	83	85	739	82.11	1.85
13=	Ayal Mor	English as a Second Language	OpenU A	82	79	83	82	81	85	82	83	82	739	82.11	1.52
13=	Madeleine Wu		Dartmouth A	83	79	80	83	81	83	84	84	82	739	82.11	1.66
16	Lucie Slamova		Manchester A	80	83	84	84	82	80	80	81	84	738	82.00	1.70
17	Elizabeth Li		Stanford A	80	83	82	86	82	81	81	80	82	737	81.89	1.73
18	Tajei Puthucheary		Oxford C	82	81	79	82	84	83	82	82	81	736	81.78	1.31
19	Petar Žnidar	English as a Second Language, English as a Foreign Language	Zagreb A	83	81	81	82	82	82	79	84	81	735	81.67	1.33
20	Nasa Tsuchiya	English as a Second Language	Tokyo A	80	81	81	83	82	80	82	83	82	734	81.56	1.07
21	Chris Mentis Cravaris		Oxford C	81	82	80	81	83	81	83	82	80	733	81.44	1.07
22=	Kotaro Yoshida	English as a Second Language	Tokyo A	82	80	80	81	82	80	82	83	82	732	81.33	1.05
22=	Jagoda Sabljić	English as a Second Language, English as a Foreign Language	Zagreb A	83	80	81	83	80	82	78	83	82	732	81.33	1.63
24	Julian Bako		Sydney G	79	80	82	84	80	80	80	83	83	731	81.22	1.69
25=	Rahul Kalavagunta		PDP E	80	82	83	81	79	80	82	85	78	730	81.11	2.02
25=	Archie Wolifson		Sydney G	79	80	83	81	80	81	80	83	83	730	81.11	1.45
25=	Matt Mauriello		Harvard A	80	83	78	81	84	79	79	83	83	730	81.11	2.08
25=	Wajeeh Maaz		Manchester A	79	82	83	83	82	80	78	80	83	730	81.11	1.79
25=	Sarenna McKellar		McGill C	80	82	78	82	81	83	83	79	82	730	81.11	1.66
30=	Alessandro Perri		UChicago B	78	83	82	77	82	83	84	82	78	729	81.00	2.45
30=	Roy Tiefer		UChicago B	78	81	82	78	81	84	83	83	79	729	81.00	2.11
30=	Ted Chang		Harvard A	80	83	79	79	84	78	80	83	83	729	81.00	2.11
30=	Mukudzeiishe Madzivire		Columbia A	78	79	84	82	83	86	80	77	80	729	81.00	2.79
34	Nicola Brayan		Sydney D	81	81	81	82	81	82	81	80	79	728	80.89	0.87
35=	Kaustubh Jain		PDP D	80	78	80	79	81	84	81	85	79	727	80.78	2.20
35=	Sheryar Ahmad Fazal		PDP D	80	79	80	79	80	84	80	86	79	727	80.78	2.35
35=	Jacquelynn Lin		PDP A	81	81	81	82	80	79	82	81	80	727	80.78	0.92
35=	Neva Mikulic		Sydney F	80	81	79	82	80	83	79	82	81	727	80.78	1.31
35=	Will Ryan		UCLA A	81	80	83	81	80	79	81	82	80	727	80.78	1.13
40=	Manuel Machorro		Bates A	77	80	81	83	80	78	83	84	80	726	80.67	2.21
40=	Belle Ho		UCLA A	82	80	81	81	78	80	81	82	81	726	80.67	1.15
42=	Sophia Zuo		PDP E	80	81	82	80	79	79	82	85	77	725	80.56	2.17
42=	Mia Freeland		Sydney H	77	80	81	82	82	80	83	78	82	725	80.56	1.89
42=	Anders Cairns Woodruff		McGill C	81	82	78	81	82	83	80	78	80	725	80.56	1.64
45=	Oscar Chaffey		Sydney D	82	79	80	82	80	82	80	82	77	724	80.44	1.64
45=	Shayor Ahmad Khan		DSB A	78	81	81	77	82	82	82	81	80	724	80.44	1.71
47=	Bea Legaspi	English as a Second Language	UPD A	83	81	81	80	81	80	81	81	75	723	80.33	2.05
47=	Edward Xu		DSB A	79	82	82	77	81	80	82	79	81	723	80.33	1.63
49	Henrietta Vanni		TCD Phil A	78	77	82	81	83	78	80	80	83	722	80.22	2.10
50=	Helen Wu		UChicago A	83	78	85	77	79	79	77	82	81	721	80.11	2.64
50=	Victor Tong		Columbia A	78	79	82	79	81	85	79	78	80	721	80.11	2.13
50=	Tori Ling		UPenn A	82	77	80	82	79	80	79	82	80	721	80.11	1.59
53=	Eli Ferrell		EUDU A	77	81	82	82	76	82	80	80	80	720	80.00	2.05
53=	Ashwin S. W. Laksumanage	English as a Second Language	UPenn C	81	78	81	78	76	80	83	83	80	720	80.00	2.21
53=	Adam Banihani		HHDC A	82	76	81	77	82	80	81	81	80	720	80.00	2.00
53=	Hasit Nanda		UPenn B	78	80	81	80	79	84	81	75	82	720	80.00	2.40
53=	Arjun Raman		KCL A	78	77	80	79	77	82	84	83	80	720	80.00	2.40
58=	Luigi Alcañeses		UPD A	81	81	81	81	82	80	81	80	72	719	79.89	2.85
58=	Oyuka Lyndon		Bates A	78	79	79	82	80	78	81	83	79	719	79.89	1.66
58=	Marceli Potocki		Oxford E	78	83	80	78	82	81	79	80	78	719	79.89	1.73
61=	Bharath Anantham		Oxford D	78	81	84	76	77	81	81	84	76	718	79.78	2.97
61=	William Joseph Ryan		Sydney F	78	80	79	81	78	82	79	81	80	718	79.78	1.31
61=	Eleanor Douglas		Sydney H	77	80	81	80	79	79	82	80	80	718	79.78	1.31
64=	Cyrus Wrede Braden		EUDU A	76	81	81	80	77	81	80	80	81	717	79.67	1.76
64=	Nir Amin		Harvard D	79	79	80	81	80	82	81	78	77	717	79.67	1.49
64=	Afzal Hussain		PDP A	80	80	82	81	78	78	81	78	79	717	79.67	1.41
64=	Arpi Yang		HHDC A	79	76	80	75	83	81	81	81	81	717	79.67	2.45
64=	Sena Kim		UPenn B	77	79	78	81	80	84	80	76	82	717	79.67	2.36
69=	Ethan Jiang		UChicago A	82	77	85	77	77	78	77	82	81	716	79.56	2.83
69=	Brendon Chen		Sydney E	80	81	78	77	81	76	79	81	83	716	79.56	2.11
69=	Bennett Roebuck-Krautz		Sydney E	79	80	78	78	82	74	80	81	84	716	79.56	2.67
69=	Emma Blemaster		Stanford D	79	85	79	82	78	78	80	78	77	716	79.56	2.36
69=	Lwandle Ntshangase		Oxford E	77	81	78	78	81	82	78	82	79	716	79.56	1.83
69=	Alexandra Uy-Tioco		UPenn A	79	76	79	84	78	79	79	82	80	716	79.56	2.17
69=	Jessica Gurevich	English as a Second Language	BGU A	82	79	82	81	81	76	75	82	78	716	79.56	2.54
76=	Jess Williamson		Oxford D	77	81	84	75	78	81	80	83	76	715	79.44	2.95
76=	Guy Wolf	English as a Second Language	Technion A	79	77	81	79	82	78	79	81	79	715	79.44	1.50
76=	Seamus Allen		Stanford D	78	87	79	82	79	78	80	78	74	715	79.44	3.34
76=	Hilary Vanni		TCD Phil A	77	76	81	80	82	78	80	78	83	715	79.44	2.22
76=	Ambika Grover		Harvard B	79	75	83	80	74	86	79	76	83	715	79.44	3.80
76=	Rina Neiman	English as a Second Language	BGU A	83	79	81	81	81	77	76	80	77	715	79.44	2.22
76=	Stella Wu		Stanford F	79	81	79	81	78	80	81	82	74	715	79.44	2.27
83=	Olivia Arbour		CUS A	82	80	80	77	78	79	80	79	79	714	79.33	1.33
83=	David Safro	English as a Second Language	DDUL A	81	80	78	80	76	80	81	83	75	714	79.33	2.40
83=	Stephanie Chen		Harvard B	78	75	83	82	75	84	79	76	82	714	79.33	3.33
83=	Jinyoung Kim		Stanford F	79	80	78	81	78	81	82	81	74	714	79.33	2.31
87	Sajid Farook		Stanford B	81	80	81	81	79	79	79	80	73	713	79.22	2.35
88=	Abhinav Mohanty		UNSW B	80	77	75	79	80	80	78	83	80	712	79.11	2.13
88=	Darshanik Aryal		Harvard D	78	80	78	80	80	81	79	79	77	712	79.11	1.20
88=	Felix Reischl	English as a Second Language, English as a Foreign Language	BDU A	78	77	78	79	80	80	79	81	80	712	79.11	1.20
88=	Jason Tu		UPenn C	81	77	82	77	74	79	82	82	78	712	79.11	2.69
88=	Muhammad Dhafer bin Muhammad Faishal Khan Surattee		Stanford B	81	79	80	81	77	79	79	81	75	712	79.11	1.91
93	Robert Armstrong		KCL A	77	76	78	79	77	81	82	81	80	711	79.00	2.00
94=	Maya Anderson		UNSW B	79	78	75	78	80	80	78	82	80	710	78.89	1.85
94=	Yael Wolff	English as a Second Language	Technion A	80	77	81	78	80	77	80	80	77	710	78.89	1.52
94=	Ram Orfanel		Cornell A	79	79	81	80	81	73	77	80	80	710	78.89	2.38
94=	Wesley Pu	English as a Second Language	UM A	80	78	81	77	81	76	77	79	81	710	78.89	1.85
98=	Mannat Kaur		Auckland A	79	81	80	77	75	78	79	81	79	709	78.78	1.81
98=	Joshua Low		CUS A	81	79	79	78	78	80	79	78	77	709	78.78	1.13
98=	Felix Leonhardt		Yale C	79	79	78	77	79	81	77	81	78	709	78.78	1.40
98=	Benjamin Thomas		Stanford C	77	79	80	78	81	79	79	77	79	709	78.78	1.23
98=	Tanush Agarwal		Oxford B	80	82	78	79	76	76	80	79	79	709	78.78	1.81
98=	Naz Soysal		Yale A	79	76	75	80	81	78	80	79	81	709	78.78	1.99
98=	Stefan Milicescu		LSE A	76	80	81	77	79	78	79	80	79	709	78.78	1.47
105=	Fernanda Crousillat Rayter	English as a Second Language, English as a Foreign Language	PUCP CG	78	81	77	75	80	80	78	82	77	708	78.67	2.11
105=	Jorge Godos	English as a Second Language, English as a Foreign Language	PUCP CG	79	81	77	74	79	80	77	83	78	708	78.67	2.45
