name	institution	adjcore	independent
Nicole Hua	CUS		
Tshi Malatji	Free State		
Matt Caito	LSE		
Sandeep Tissaaratchy	HWS		
Robert Barrie	MQU		
Isabella Freeland	Sydney		
Max Rosen	CUS		
Tengku Omar Azfar Haqqani	BINUS		
Angelo Saavedra	USFQ		
Adrián Duque	USFQ		
Emma Walker	GUU		
Jessica Zapata	Rosario		
Park Youngwoo	LSE		
Juanita &quot;Shitshow&quot; Hincapié Restrepo	Rosario		
Benjamin Vigueras	Cornell		
Xiao-ke Lu	PDP		
Pinelle Bikouta	Wits		
Tanay Patri	NEU		
Paula Djakovic	Zagreb		
Lucy Murphy	—		
Jack Stanley	UOL		
Alexandra McCreadie	Aberystwyth		
Milos Marjanovic	Belgrade		
Jaleelah Al-Ameenah Ammar	EDS		
Jonathan Tuliao	UPD		
Marta &quot;honestly, I want a plantain&quot; Vasić	Belgrade		
Assaph Hanany	TAU		
Erasmus &quot;9 fingers only&quot; Mawuli Segbefia	KNUST		
Nicholas Abernethy	Cornell		
Ramy Masalha	Haifa		
Tarun Ruschmeier	PDP		
Pranav &quot;Myself from village area&quot; Kagalkar	—		
Daisy Yan Sun	SUFE		
Jing Yu Ma	Queensland		
Ilija Ivanišević	Belgrade		
Andrew Chen	Oxford		
Ruth Selorme Acolatse	IHU		
Pjotr Koster	NSDV Trivium		
Robert Raos	Zagreb		
Dennis Su	NEU		
Christopher Chua	—		
Simon Luo	USMLA		
Sam Trotter	Sydney		
Anna Shreder	Technion		
Jordyn Gibson	UNSW		
Ðorđe Radosavljević	Belgrade		
Annika Wang	Sydney		
Jane &quot;Barbie Jayanti&quot; Mentzinger	PDP		
Klaudia Maciejewska	JU		
Kat &quot;Nawrrr&quot; Cheng	UNSW		
Shudipto &quot;Mamacitiiiita&quot; Ahmed	BRAC		
Lara Dragojević	Zagreb		
Germaine Barrett	UTJamaica		
Omesh Dhar Dwivedi	Drexel		
Andrés Revelo	Rosario		
Ashish Xiangyi Kumar	CUS		
Geneva Roy	—		
Martha McKinney-Perry	TCD Hist		
Umar Buckus	Wits		
minami matsushima	Osaka		
Arwyn Stone	Sydney		
Anna Sawicka	TCD Hist		
Silin Wei	HHDC		
Vladimira Šuflaj	Zagreb		
Rushdoon Ahmed	IGNOU		
Natalia García	—		
Alice Bertoni	USPd		
Sunghyun Park	Seoul		
Diego Duarte	Rosario		
Daniel Schonning	HWS		
