team	result	side	ballot	adjudicators
Belgrade A	1st	Opening Opposition	View Ballot	Pjotr KosterⒸ , Lwandle Ntshangase , Tajei Puthucheary
Malaya B	2nd	Opening Government	View Ballot	Pjotr KosterⒸ , Lwandle Ntshangase , Tajei Puthucheary
UCD LawSoc B	4th	Closing Government	View Ballot	Pjotr KosterⒸ , Lwandle Ntshangase , Tajei Puthucheary
Stanford D	3rd	Closing Opposition	View Ballot	Pjotr KosterⒸ , Lwandle Ntshangase , Tajei Puthucheary
Manchester B	2nd	Closing Government	View Ballot	Youngwoo ParkⒸ , Aniket Chakravorty , Emily Frizell
TCD Phil A	3rd	Opening Government	View Ballot	Youngwoo ParkⒸ , Aniket Chakravorty , Emily Frizell
PDP C	1st	Closing Opposition	View Ballot	Youngwoo ParkⒸ , Aniket Chakravorty , Emily Frizell
UCD L&amp;H C	4th	Opening Opposition	View Ballot	Youngwoo ParkⒸ , Aniket Chakravorty , Emily Frizell
LSE A	1st	Closing Opposition	View Ballot	Aidan WooⒸ , Fraser McConachie , Lucy Murphy
TCD Hist A	3rd	Opening Government	View Ballot	Aidan WooⒸ , Fraser McConachie , Lucy Murphy
Dartmouth A	2nd	Opening Opposition	View Ballot	Aidan WooⒸ , Fraser McConachie , Lucy Murphy
GUU A	4th	Closing Government	View Ballot	Aidan WooⒸ , Fraser McConachie , Lucy Murphy
Bates B	2nd	Opening Opposition	View Ballot	Sachin TisseraⒸ , Jane M , Jess Williamson , Saanvi TripuramalluⓉ
KCL A	1st	Opening Government	View Ballot	Sachin TisseraⒸ , Jane M , Jess Williamson , Saanvi TripuramalluⓉ
UBC A	3rd	Closing Government	View Ballot	Sachin TisseraⒸ , Jane M , Jess Williamson , Saanvi TripuramalluⓉ
Zurich A	4th	Closing Opposition	View Ballot	Sachin TisseraⒸ , Jane M , Jess Williamson , Saanvi TripuramalluⓉ
Brown A	2nd	Opening Government	View Ballot	Victor Johannes BervoetsⒸ , Andrew Ludwin , Munirah Abdullah
